,GP,W,L,WIN%,PTS,OPPPTS,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,82,60,22,0.732,8409,7964,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,82,40,42,0.488,8312,8299,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,82,38,44,0.463,8038,8274,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,82,33,49,0.402,7721,7981,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,82,50,32,0.61,8265,8019,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,82,53,29,0.646,8457,8090,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,82,50,32,0.61,8628,8390,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,82,30,52,0.366,8320,8611,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,82,32,50,0.39,8077,8159,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,82,67,15,0.817,9016,8188,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,82,56,26,0.683,8522,8240,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,82,38,44,0.463,7981,7958,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,82,56,26,0.683,8751,8211,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,82,21,61,0.256,8073,8634,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,82,55,27,0.671,8062,7796,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,82,37,45,0.451,7764,7977,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,82,41,41,0.5,8023,7988,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,82,16,66,0.195,8016,8737,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,82,45,37,0.549,8147,8082,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,82,17,65,0.207,7535,8299,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,82,45,37,0.549,8524,8345,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,82,25,57,0.305,7847,8316,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,82,18,64,0.22,7542,8278,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,82,39,43,0.476,8397,8471,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,82,51,31,0.622,8429,8082,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,82,29,53,0.354,8310,8614,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,82,55,27,0.671,8461,7953,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,82,49,33,0.598,8527,8275,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,82,38,44,0.463,7801,7783,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,82,46,36,0.561,8080,8021,,,,,,,,,,,,,,,,,,,,,,,
