,GP,W,L,WIN%,PTS,OPPPTS,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,82,43,39,0.524,8459,8529,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,82,53,29,0.646,8857,8641,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,82,20,62,0.244,8673,9225,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,82,36,46,0.439,8601,8585,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,82,41,41,0.5,8435,8400,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,82,51,31,0.622,9048,8787,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,82,33,49,0.402,8029,8269,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,82,40,42,0.488,9161,9119,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,82,37,45,0.451,8309,8401,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,82,67,15,0.817,9503,8549,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,82,55,27,0.671,9458,8985,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,82,42,40,0.512,8618,8636,,,,,,,,,,,,,,,,,,,,,,,,
LA Clippers,82,51,31,0.622,8911,8559,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,82,26,56,0.317,8575,9139,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,82,43,39,0.524,8239,8199,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,82,41,41,0.5,8460,8373,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,82,42,40,0.512,8497,8512,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,82,31,51,0.378,8657,8748,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,82,34,48,0.415,8556,8728,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,82,31,51,0.378,8556,8857,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,82,47,35,0.573,8741,8679,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,82,29,53,0.354,8288,8827,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,82,28,54,0.341,8400,8867,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,82,24,58,0.293,8831,9293,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,82,41,41,0.5,8851,8894,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,82,32,50,0.39,8430,8748,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,82,61,21,0.744,8637,8047,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,82,51,31,0.622,8762,8417,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,82,51,31,0.622,8258,7935,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,82,49,33,0.598,8953,8805,,,,,,,,,,,,,,,,,,,,,,,,
