,GP,W,L,WIN%,PTS,OPPPTS
Atlanta Hawks,82,24,58,0.293,8475,8922
Boston Celtics,82,55,27,0.671,8529,8235
Brooklyn Nets,82,28,54,0.341,8741,9048
Charlotte Hornets,82,36,46,0.439,8874,8853
Chicago Bulls,82,27,55,0.329,8440,9017
Cleveland Cavaliers,82,50,32,0.61,9091,9014
Dallas Mavericks,82,24,58,0.293,8390,8639
Denver Nuggets,82,46,36,0.561,9020,8899
Detroit Pistons,82,39,43,0.476,8509,8521
Golden State Warriors,82,58,24,0.707,9304,8814
Houston Rockets,82,65,17,0.793,9213,8518
Indiana Pacers,82,48,34,0.585,8656,8543
LA Clippers,82,42,40,0.512,8937,8934
Los Angeles Lakers,82,35,47,0.427,8862,8989
Memphis Grizzlies,82,22,60,0.268,8145,8654
Miami Heat,82,44,38,0.537,8480,8441
Milwaukee Bucks,82,44,38,0.537,8731,8756
Minnesota Timberwolves,82,47,35,0.573,8980,8797
New Orleans Pelicans,82,48,34,0.585,9161,9054
New York Knicks,82,29,53,0.354,8566,8858
Oklahoma City Thunder,82,48,34,0.585,8844,8564
Orlando Magic,82,25,57,0.305,8479,8874
Philadelphia 76ers,82,52,30,0.634,9004,8635
Phoenix Suns,82,21,61,0.256,8522,9290
Portland Trail Blazers,82,49,33,0.598,8661,8448
Sacramento Kings,82,27,55,0.329,8104,8677
San Antonio Spurs,82,47,35,0.573,8424,8187
Toronto Raptors,82,59,23,0.72,9156,8518
Utah Jazz,82,48,34,0.585,8540,8187
Washington Wizards,82,43,39,0.524,8742,8694
