date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 29, 2014",Boston Celtics,L,105,121,0,1,L 1
"Sat, Nov 1, 2014",Detroit Pistons,W,102,90,1,1,W 1
"Mon, Nov 3, 2014",Oklahoma City Thunder,W,116,85,2,1,W 2
"Wed, Nov 5, 2014",Minnesota Timberwolves,L,91,98,2,2,L 1
"Fri, Nov 7, 2014",New York Knicks,W,110,99,3,2,W 1
"Sun, Nov 9, 2014",Orlando Magic,W,104,96,4,2,W 2
"Wed, Nov 12, 2014",Phoenix Suns,L,104,112,4,3,L 1
"Thu, Nov 13, 2014",Golden State Warriors,L,99,107,4,4,L 2
"Sat, Nov 15, 2014",Portland Trail Blazers,L,87,97,4,5,L 3
"Mon, Nov 17, 2014",Miami Heat,L,83,95,4,6,L 4
"Wed, Nov 19, 2014",Milwaukee Bucks,L,118,122,4,7,L 5
"Fri, Nov 21, 2014",Oklahoma City Thunder,W,94,92,5,7,W 1
"Sat, Nov 22, 2014",San Antonio Spurs,L,87,99,5,8,L 1
"Wed, Nov 26, 2014",Philadelphia 76ers,W,99,91,6,8,W 1
"Sun, Nov 30, 2014",Chicago Bulls,L,84,102,6,9,L 1
"Tue, Dec 2, 2014",New York Knicks,W,98,93,7,9,W 1
"Wed, Dec 3, 2014",San Antonio Spurs,W,95,93,8,9,W 2
"Fri, Dec 5, 2014",Atlanta Hawks,L,75,98,8,10,L 1
"Mon, Dec 8, 2014",Cleveland Cavaliers,L,88,110,8,11,L 2
"Wed, Dec 10, 2014",Chicago Bulls,L,80,105,8,12,L 3
"Fri, Dec 12, 2014",Philadelphia 76ers,W,88,70,9,12,W 1
"Sat, Dec 13, 2014",Charlotte Hornets,W,114,87,10,12,W 2
"Tue, Dec 16, 2014",Miami Heat,L,91,95,10,13,L 1
"Wed, Dec 17, 2014",Toronto Raptors,L,89,105,10,14,L 2
"Fri, Dec 19, 2014",Cleveland Cavaliers,L,91,95,10,15,L 3
"Sun, Dec 21, 2014",Detroit Pistons,W,110,105,11,15,W 1
"Tue, Dec 23, 2014",Denver Nuggets,W,102,96,12,15,W 2
"Fri, Dec 26, 2014",Boston Celtics,W,109,107,13,15,W 3
"Sat, Dec 27, 2014",Indiana Pacers,L,85,110,13,16,L 1
"Mon, Dec 29, 2014",Sacramento Kings,W,107,99,14,16,W 1
"Tue, Dec 30, 2014",Chicago Bulls,W,96,82,15,16,W 2
"Fri, Jan 2, 2015",Orlando Magic,W,100,98,16,16,W 3
"Sun, Jan 4, 2015",Miami Heat,L,84,88,16,17,L 1
"Mon, Jan 5, 2015",Dallas Mavericks,L,88,96,16,18,L 2
"Wed, Jan 7, 2015",Boston Celtics,L,81,89,16,19,L 3
"Fri, Jan 9, 2015",Philadelphia 76ers,L,88,90,16,20,L 4
"Sat, Jan 10, 2015",Detroit Pistons,L,93,98,16,21,L 5
"Mon, Jan 12, 2015",Houston Rockets,L,99,113,16,22,L 6
"Wed, Jan 14, 2015",Memphis Grizzlies,L,92,103,16,23,L 7
"Fri, Jan 16, 2015",Washington Wizards,W,102,80,17,23,W 1
"Sat, Jan 17, 2015",Washington Wizards,L,90,99,17,24,L 1
"Wed, Jan 21, 2015",Sacramento Kings,W,103,100,18,24,W 1
"Thu, Jan 22, 2015",Los Angeles Clippers,L,84,123,18,25,L 1
"Sat, Jan 24, 2015",Utah Jazz,L,73,108,18,26,L 2
"Wed, Jan 28, 2015",Atlanta Hawks,L,102,113,18,27,L 3
"Fri, Jan 30, 2015",Toronto Raptors,L,122,127,18,28,L 4
"Mon, Feb 2, 2015",Los Angeles Clippers,W,102,100,19,28,W 1
"Wed, Feb 4, 2015",Toronto Raptors,W,109,93,20,28,W 2
"Fri, Feb 6, 2015",New York Knicks,W,92,88,21,28,W 3
"Sat, Feb 7, 2015",Washington Wizards,L,77,114,21,29,L 1
"Mon, Feb 9, 2015",Milwaukee Bucks,L,97,103,21,30,L 2
"Tue, Feb 10, 2015",Memphis Grizzlies,L,86,95,21,31,L 3
"Fri, Feb 20, 2015",Los Angeles Lakers,W,114,105,22,31,W 1
"Mon, Feb 23, 2015",Denver Nuggets,W,110,82,23,31,W 2
