date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Tue, Oct 28, 2014",New Orleans Pelicans,L,84,101,0,1,L 1
"Thu, Oct 30, 2014",Washington Wizards,L,98,105,0,2,L 2
"Sat, Nov 1, 2014",Toronto Raptors,L,95,108,0,3,L 3
"Tue, Nov 4, 2014",Chicago Bulls,L,90,98,0,4,L 4
"Wed, Nov 5, 2014",Philadelphia 76ers,W,91,89,1,4,W 1
"Fri, Nov 7, 2014",Minnesota Timberwolves,W,112,103,2,4,W 2
"Sun, Nov 9, 2014",Brooklyn Nets,L,96,104,2,5,L 1
"Tue, Nov 11, 2014",Toronto Raptors,L,100,104,2,6,L 2
"Wed, Nov 12, 2014",New York Knicks,W,97,95,3,6,W 1
"Fri, Nov 14, 2014",Milwaukee Bucks,W,101,85,4,6,W 2
"Sat, Nov 15, 2014",Washington Wizards,L,93,98,4,7,L 1
"Mon, Nov 17, 2014",Detroit Pistons,W,107,93,5,7,W 1
"Wed, Nov 19, 2014",Los Angeles Clippers,L,90,114,5,8,L 1
"Fri, Nov 21, 2014",Charlotte Hornets,W,105,100,6,8,W 1
"Sat, Nov 22, 2014",Miami Heat,L,92,99,6,9,L 1
"Mon, Nov 24, 2014",Cleveland Cavaliers,L,74,106,6,10,L 2
"Wed, Nov 26, 2014",Golden State Warriors,L,96,111,6,11,L 3
"Fri, Nov 28, 2014",Indiana Pacers,L,83,98,6,12,L 4
"Sun, Nov 30, 2014",Phoenix Suns,W,93,90,7,12,W 1
"Tue, Dec 2, 2014",Golden State Warriors,L,97,98,7,13,L 1
"Wed, Dec 3, 2014",Los Angeles Clippers,L,86,114,7,14,L 2
"Fri, Dec 5, 2014",Utah Jazz,W,98,93,8,14,W 1
"Sat, Dec 6, 2014",Sacramento Kings,W,105,96,9,14,W 2
"Wed, Dec 10, 2014",Washington Wizards,L,89,91,9,15,L 1
"Fri, Dec 12, 2014",Atlanta Hawks,L,81,87,9,16,L 2
"Sat, Dec 13, 2014",Atlanta Hawks,W,100,99,10,16,W 1
"Mon, Dec 15, 2014",Toronto Raptors,L,82,95,10,17,L 1
"Wed, Dec 17, 2014",Boston Celtics,L,92,109,10,18,L 2
"Fri, Dec 19, 2014",Utah Jazz,L,94,101,10,19,L 3
"Sun, Dec 21, 2014",Philadelphia 76ers,L,88,96,10,20,L 4
"Tue, Dec 23, 2014",Boston Celtics,W,100,95,11,20,W 1
"Fri, Dec 26, 2014",Cleveland Cavaliers,L,89,98,11,21,L 1
"Sat, Dec 27, 2014",Charlotte Hornets,W,102,94,12,21,W 1
"Mon, Dec 29, 2014",Miami Heat,W,102,101,13,21,W 2
"Tue, Dec 30, 2014",Detroit Pistons,L,86,109,13,22,L 1
"Fri, Jan 2, 2015",Brooklyn Nets,L,98,100,13,23,L 2
"Sat, Jan 3, 2015",Charlotte Hornets,L,90,98,13,24,L 3
"Wed, Jan 7, 2015",Denver Nuggets,L,90,93,13,25,L 4
"Fri, Jan 9, 2015",Los Angeles Lakers,L,84,101,13,26,L 5
"Sat, Jan 10, 2015",Portland Trail Blazers,L,92,103,13,27,L 6
"Mon, Jan 12, 2015",Chicago Bulls,W,121,114,14,27,W 1
"Wed, Jan 14, 2015",Houston Rockets,W,120,113,15,27,W 2
"Fri, Jan 16, 2015",Memphis Grizzlies,L,96,106,15,28,L 1
"Sun, Jan 18, 2015",Oklahoma City Thunder,L,99,127,15,29,L 2
"Wed, Jan 21, 2015",Detroit Pistons,L,118,128,15,30,L 3
"Fri, Jan 23, 2015",New York Knicks,L,106,113,15,31,L 4
"Sun, Jan 25, 2015",Indiana Pacers,L,99,106,15,32,L 5
"Mon, Jan 26, 2015",Memphis Grizzlies,L,94,103,15,33,L 6
"Thu, Jan 29, 2015",Milwaukee Bucks,L,100,115,15,34,L 7
"Sat, Jan 31, 2015",Dallas Mavericks,L,93,108,15,35,L 8
"Mon, Feb 2, 2015",Oklahoma City Thunder,L,97,104,15,36,L 9
"Wed, Feb 4, 2015",San Antonio Spurs,L,103,110,15,37,L 10
"Fri, Feb 6, 2015",Los Angeles Lakers,W,103,97,16,37,W 1
"Sun, Feb 8, 2015",Chicago Bulls,L,97,98,16,38,L 1
"Mon, Feb 9, 2015",Washington Wizards,L,80,96,16,39,L 2
"Wed, Feb 11, 2015",New York Knicks,W,89,83,17,39,W 1
"Fri, Feb 20, 2015",New Orleans Pelicans,W,95,84,18,39,W 2
"Sun, Feb 22, 2015",Philadelphia 76ers,W,103,98,19,39,W 3
"Wed, Feb 25, 2015",Miami Heat,L,90,93,19,40,L 1
"Fri, Feb 27, 2015",Atlanta Hawks,L,88,95,19,41,L 2
"Sun, Mar 1, 2015",Charlotte Hornets,L,83,98,19,42,L 3
"Wed, Mar 4, 2015",Phoenix Suns,L,100,105,19,43,L 4
"Fri, Mar 6, 2015",Sacramento Kings,W,119,114,20,43,W 1
"Sun, Mar 8, 2015",Boston Celtics,W,103,98,21,43,W 2
"Tue, Mar 10, 2015",Indiana Pacers,L,86,118,21,44,L 1
"Wed, Mar 11, 2015",Milwaukee Bucks,L,91,97,21,45,L 2
"Fri, Mar 13, 2015",Boston Celtics,L,88,95,21,46,L 3
"Sun, Mar 15, 2015",Cleveland Cavaliers,L,108,123,21,47,L 4
"Tue, Mar 17, 2015",Houston Rockets,L,94,107,21,48,L 5
"Wed, Mar 18, 2015",Dallas Mavericks,L,102,107,21,49,L 6
"Fri, Mar 20, 2015",Portland Trail Blazers,W,111,104,22,49,W 1
"Sun, Mar 22, 2015",Denver Nuggets,L,100,119,22,50,L 1
"Wed, Mar 25, 2015",Atlanta Hawks,L,83,95,22,51,L 2
"Fri, Mar 27, 2015",Detroit Pistons,L,97,111,22,52,L 3
"Wed, Apr 1, 2015",San Antonio Spurs,L,91,103,22,53,L 4
"Fri, Apr 3, 2015",Minnesota Timberwolves,W,97,84,23,53,W 1
"Sat, Apr 4, 2015",Milwaukee Bucks,W,97,90,24,53,W 2
"Wed, Apr 8, 2015",Chicago Bulls,W,105,103,25,53,W 3
"Fri, Apr 10, 2015",Toronto Raptors,L,99,101,25,54,L 1
"Sat, Apr 11, 2015",New York Knicks,L,79,80,25,55,L 2
"Mon, Apr 13, 2015",Miami Heat,L,93,100,25,56,L 3
"Wed, Apr 15, 2015",Brooklyn Nets,L,88,101,25,57,L 4
