abbr,pts,opp_pts,wins,losses
ATL,102,109,0,1
ATL,102,92,1,1
ATL,92,94,1,2
ATL,119,122,1,3
ATL,103,96,2,3
ATL,91,85,3,3
ATL,100,97,4,3
ATL,114,103,5,3
ATL,94,127,5,4
ATL,109,114,5,5
ATL,99,89,6,5
ATL,106,102,7,5
ATL,115,126,7,6
ATL,100,91,8,6
ATL,105,75,9,6
ATL,109,105,10,6
ATL,112,102,11,6
ATL,98,75,12,6
ATL,96,84,13,6
ATL,108,92,14,6
ATL,95,79,15,6
ATL,87,81,16,6
ATL,99,100,16,7
ATL,93,86,17,7
ATL,127,98,18,7
ATL,104,97,19,7
ATL,105,102,20,7
ATL,107,104,21,7
ATL,77,107,21,8
ATL,90,85,22,8
ATL,109,101,23,8
ATL,98,92,24,8
ATL,115,107,25,8
ATL,107,98,26,8
ATL,96,86,27,8
ATL,106,103,28,8
ATL,120,89,29,8
ATL,105,87,30,8
ATL,105,91,31,8
ATL,110,89,32,8
ATL,107,99,33,8
ATL,93,82,34,8
ATL,110,91,35,8
ATL,103,93,36,8
ATL,112,100,37,8
ATL,113,102,38,8
ATL,105,99,39,8
ATL,91,85,40,8
ATL,100,115,40,9
ATL,105,96,41,9
ATL,124,116,42,9
ATL,88,94,42,10
ATL,117,105,43,10
ATL,88,89,43,11
ATL,80,105,43,12
ATL,97,86,44,12
ATL,104,87,45,12
ATL,95,88,46,12
ATL,93,91,47,12
ATL,104,96,48,12
ATL,106,97,49,12
ATL,84,92,49,13
ATL,130,105,50,13
ATL,102,115,50,14
ATL,96,87,51,14
ATL,91,86,52,14
ATL,110,103,53,14
ATL,95,114,53,15
ATL,115,123,53,16
ATL,95,114,53,17
ATL,95,83,54,17
ATL,99,86,55,17
ATL,100,115,55,18
ATL,101,88,56,18
ATL,95,105,56,19
ATL,131,99,57,19
ATL,96,69,58,19
ATL,114,111,59,19
ATL,104,80,60,19
ATL,99,108,60,20
ATL,108,112,60,21
ATL,85,91,60,22
ATL,99,92,1,0
ATL,96,91,2,0
ATL,83,91,2,1
ATL,115,120,2,2
ATL,107,97,3,2
ATL,111,87,4,2
ATL,98,104,4,3
ATL,106,90,5,3
ATL,101,103,5,4
ATL,106,101,6,4
ATL,82,81,7,4
ATL,94,91,8,4
ATL,89,97,8,5
ATL,82,94,8,6
ATL,111,114,8,7
ATL,88,118,8,8
BOS,121,105,1,0
BOS,90,104,1,1
BOS,113,118,1,2
BOS,107,110,1,3
BOS,101,98,2,3
BOS,106,101,3,3
BOS,94,109,3,4
BOS,121,122,3,5
BOS,114,118,3,6
BOS,101,90,4,6
BOS,100,117,4,7
BOS,88,94,4,8
BOS,102,109,4,9
BOS,89,111,4,10
BOS,105,109,4,11
BOS,109,102,5,11
BOS,113,96,6,11
BOS,101,93,7,11
BOS,132,133,7,12
BOS,87,96,7,13
BOS,95,101,7,14
BOS,105,87,8,14
BOS,109,92,9,14
BOS,114,98,10,14
BOS,84,100,10,15
BOS,95,100,10,16
BOS,107,109,10,17
BOS,88,101,10,18
BOS,106,84,11,18
BOS,101,119,11,19
BOS,104,109,11,20
BOS,95,104,11,21
BOS,89,81,12,21
BOS,103,107,12,22
BOS,96,109,12,23
BOS,108,100,13,23
BOS,91,105,13,24
BOS,103,119,13,25
BOS,93,102,13,26
BOS,90,89,14,26
BOS,100,99,15,26
BOS,111,114,15,27
BOS,99,90,16,27
BOS,98,110,16,28
BOS,87,93,16,29
BOS,75,83,16,30
BOS,108,97,17,30
BOS,104,100,18,30
BOS,107,96,19,30
BOS,93,96,19,31
BOS,89,88,20,31
BOS,101,109,20,32
BOS,111,118,20,33
BOS,115,110,21,33
BOS,115,94,22,33
BOS,106,98,23,33
BOS,101,106,23,34
BOS,79,110,23,35
BOS,85,84,24,35
BOS,104,98,25,35
BOS,98,103,25,36
BOS,100,90,26,36
BOS,95,92,27,36
BOS,95,88,28,36
BOS,93,89,29,36
BOS,108,89,30,36
BOS,118,122,30,37
BOS,89,101,30,38
BOS,97,105,30,39
BOS,110,91,31,39
BOS,86,93,31,40
BOS,96,92,32,40
BOS,106,119,32,41
BOS,116,104,33,41
BOS,100,87,34,41
BOS,101,110,34,42
BOS,117,116,35,42
BOS,113,103,36,42
BOS,99,90,37,42
BOS,117,78,38,42
BOS,95,93,39,42
BOS,105,100,40,42
BOS,100,113,0,1
BOS,91,99,0,2
BOS,95,103,0,3
BOS,93,101,0,4
BRK,105,121,0,1
BRK,102,90,1,1
BRK,116,85,2,1
BRK,91,98,2,2
BRK,110,99,3,2
BRK,104,96,4,2
BRK,104,112,4,3
BRK,99,107,4,4
BRK,87,97,4,5
BRK,83,95,4,6
BRK,118,122,4,7
BRK,94,92,5,7
BRK,87,99,5,8
