date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 26, 2016",Minnesota Timberwolves,W,102,98,1,0,W 1
"Sat, Oct 29, 2016",New York Knicks,L,104,111,1,1,L 1
"Sun, Oct 30, 2016",Washington Wizards,W,112,103,2,1,W 1
"Tue, Nov 1, 2016",Minnesota Timberwolves,L,80,116,2,2,L 1
"Wed, Nov 2, 2016",New Orleans Pelicans,W,89,83,3,2,W 1
"Fri, Nov 4, 2016",Los Angeles Clippers,L,88,99,3,3,L 1
"Sun, Nov 6, 2016",Portland Trail Blazers,L,94,100,3,4,L 2
"Tue, Nov 8, 2016",Denver Nuggets,W,108,107,4,4,W 1
"Sat, Nov 12, 2016",Milwaukee Bucks,L,96,106,4,5,L 1
"Mon, Nov 14, 2016",Utah Jazz,W,102,96,5,5,W 1
"Wed, Nov 16, 2016",Los Angeles Clippers,W,111,107,6,5,W 2
"Fri, Nov 18, 2016",Dallas Mavericks,W,80,64,7,5,W 3
"Sat, Nov 19, 2016",Minnesota Timberwolves,W,93,71,8,5,W 4
"Mon, Nov 21, 2016",Charlotte Hornets,W,105,90,9,5,W 5
"Wed, Nov 23, 2016",Philadelphia 76ers,W,104,99,10,5,W 6
"Fri, Nov 25, 2016",Miami Heat,L,81,90,10,6,L 1
"Sat, Nov 26, 2016",Miami Heat,W,110,107,11,6,W 1
"Mon, Nov 28, 2016",Charlotte Hornets,L,85,104,11,7,L 1
"Wed, Nov 30, 2016",Toronto Raptors,L,105,120,11,8,L 2
"Thu, Dec 1, 2016",Orlando Magic,W,95,94,12,8,W 1
"Sat, Dec 3, 2016",Los Angeles Lakers,W,103,100,13,8,W 2
"Mon, Dec 5, 2016",New Orleans Pelicans,W,110,108,14,8,W 3
"Tue, Dec 6, 2016",Philadelphia 76ers,W,96,91,15,8,W 4
"Thu, Dec 8, 2016",Portland Trail Blazers,W,88,86,16,8,W 5
"Sat, Dec 10, 2016",Golden State Warriors,W,110,89,17,8,W 6
"Tue, Dec 13, 2016",Cleveland Cavaliers,L,86,103,17,9,L 1
"Wed, Dec 14, 2016",Cleveland Cavaliers,W,93,85,18,9,W 1
"Fri, Dec 16, 2016",Sacramento Kings,L,92,96,18,10,L 1
"Sun, Dec 18, 2016",Utah Jazz,L,73,82,18,11,L 2
"Tue, Dec 20, 2016",Boston Celtics,L,109,112,18,12,L 3
"Wed, Dec 21, 2016",Detroit Pistons,W,98,86,19,12,W 1
"Fri, Dec 23, 2016",Houston Rockets,W,115,109,20,12,W 2
"Mon, Dec 26, 2016",Orlando Magic,L,102,112,20,13,L 1
"Tue, Dec 27, 2016",Boston Celtics,L,103,113,20,14,L 2
"Thu, Dec 29, 2016",Oklahoma City Thunder,W,114,80,21,14,W 1
"Sat, Dec 31, 2016",Sacramento Kings,W,112,98,22,14,W 2
"Tue, Jan 3, 2017",Los Angeles Lakers,L,102,116,22,15,L 1
