date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 26, 2016",Phoenix Suns,W,113,94,1,0,W 1
"Thu, Oct 27, 2016",San Antonio Spurs,L,94,102,1,1,L 1
"Sat, Oct 29, 2016",Minnesota Timberwolves,W,106,103,2,1,W 1
"Mon, Oct 31, 2016",Atlanta Hawks,L,95,106,2,2,L 1
"Tue, Nov 1, 2016",Miami Heat,L,96,108,2,3,L 2
"Thu, Nov 3, 2016",Orlando Magic,L,94,102,2,4,L 3
"Sat, Nov 5, 2016",Milwaukee Bucks,L,91,117,2,5,L 4
"Sun, Nov 6, 2016",Toronto Raptors,W,96,91,3,5,W 1
"Tue, Nov 8, 2016",New Orleans Pelicans,W,102,94,4,5,W 2
"Thu, Nov 10, 2016",Los Angeles Lakers,L,91,101,4,6,L 1
"Fri, Nov 11, 2016",Portland Trail Blazers,L,120,122,4,7,L 2
"Wed, Nov 16, 2016",San Antonio Spurs,L,105,110,4,8,L 3
"Fri, Nov 18, 2016",Los Angeles Clippers,L,115,121,4,9,L 4
"Sun, Nov 20, 2016",Toronto Raptors,W,102,99,5,9,W 1
"Wed, Nov 23, 2016",Oklahoma City Thunder,W,116,101,6,9,W 2
"Fri, Nov 25, 2016",Houston Rockets,L,104,117,6,10,L 1
"Sun, Nov 27, 2016",Brooklyn Nets,W,122,105,7,10,W 1
"Mon, Nov 28, 2016",Washington Wizards,L,95,101,7,11,L 1
"Fri, Dec 2, 2016",Boston Celtics,L,92,97,7,12,L 2
"Sun, Dec 4, 2016",New York Knicks,L,98,106,7,13,L 3
"Wed, Dec 7, 2016",Dallas Mavericks,W,120,89,8,13,W 1
"Fri, Dec 9, 2016",New York Knicks,L,100,103,8,14,L 1
"Sat, Dec 10, 2016",Utah Jazz,L,84,104,8,15,L 2
"Mon, Dec 12, 2016",Los Angeles Lakers,W,116,92,9,15,W 1
"Wed, Dec 14, 2016",Houston Rockets,L,98,132,9,16,L 1
"Fri, Dec 16, 2016",Memphis Grizzlies,W,96,92,10,16,W 1
"Sun, Dec 18, 2016",Dallas Mavericks,L,79,99,10,17,L 1
"Tue, Dec 20, 2016",Portland Trail Blazers,W,126,121,11,17,W 1
"Wed, Dec 21, 2016",Utah Jazz,W,94,93,12,17,W 2
"Fri, Dec 23, 2016",Minnesota Timberwolves,W,109,105,13,17,W 3
"Mon, Dec 26, 2016",Philadelphia 76ers,W,102,100,14,17,W 4
"Wed, Dec 28, 2016",Portland Trail Blazers,L,89,102,14,18,L 1
"Sat, Dec 31, 2016",Memphis Grizzlies,L,98,112,14,19,L 2
"Tue, Jan 3, 2017",Denver Nuggets,W,120,113,15,19,W 1
"Wed, Jan 4, 2017",Miami Heat,L,102,107,15,20,L 1
"Fri, Jan 6, 2017",Los Angeles Clippers,L,98,106,15,21,L 2
"Sun, Jan 8, 2017",Golden State Warriors,L,106,117,15,22,L 3
"Tue, Jan 10, 2017",Detroit Pistons,W,100,94,16,22,W 1
"Fri, Jan 13, 2017",Cleveland Cavaliers,L,108,120,16,23,L 1
"Sun, Jan 15, 2017",Oklahoma City Thunder,L,118,122,16,24,L 2
"Wed, Jan 18, 2017",Indiana Pacers,L,100,106,16,25,L 3
"Fri, Jan 20, 2017",Memphis Grizzlies,L,91,107,16,26,L 4
"Sat, Jan 21, 2017",Chicago Bulls,L,99,102,16,27,L 5
"Mon, Jan 23, 2017",Detroit Pistons,W,109,104,17,27,W 1
"Wed, Jan 25, 2017",Cleveland Cavaliers,W,116,112,18,27,W 2
"Fri, Jan 27, 2017",Indiana Pacers,L,111,115,18,28,L 1
"Sat, Jan 28, 2017",Charlotte Hornets,W,109,106,19,28,W 1
"Mon, Jan 30, 2017",Philadelphia 76ers,L,119,122,19,29,L 1
"Tue, Jan 31, 2017",Houston Rockets,L,83,105,19,30,L 2
"Fri, Feb 3, 2017",Phoenix Suns,L,103,105,19,31,L 3
"Sat, Feb 4, 2017",Golden State Warriors,W,109,106,20,31,W 1
"Mon, Feb 6, 2017",Chicago Bulls,L,107,112,20,32,L 1
"Wed, Feb 8, 2017",Boston Celtics,W,108,92,21,32,W 1
"Fri, Feb 10, 2017",Atlanta Hawks,W,108,107,22,32,W 2
"Sun, Feb 12, 2017",New Orleans Pelicans,W,105,99,23,32,W 3
"Tue, Feb 14, 2017",Los Angeles Lakers,W,97,96,24,32,W 4
"Wed, Feb 15, 2017",Golden State Warriors,L,86,109,24,33,L 1
"Thu, Feb 23, 2017",Denver Nuggets,W,116,100,25,33,W 1
"Sat, Feb 25, 2017",Charlotte Hornets,L,85,99,25,34,L 1
"Mon, Feb 27, 2017",Minnesota Timberwolves,L,88,102,25,35,L 2
"Wed, Mar 1, 2017",Brooklyn Nets,L,100,109,25,36,L 3
"Sun, Mar 5, 2017",Utah Jazz,L,109,110,25,37,L 4
"Mon, Mar 6, 2017",Denver Nuggets,L,96,108,25,38,L 5
"Wed, Mar 8, 2017",San Antonio Spurs,L,104,114,25,39,L 6
"Fri, Mar 10, 2017",Washington Wizards,L,122,130,25,40,L 7
"Sat, Mar 11, 2017",Denver Nuggets,L,92,105,25,41,L 8
"Mon, Mar 13, 2017",Orlando Magic,W,120,115,26,41,W 1
"Wed, Mar 15, 2017",Phoenix Suns,W,107,101,27,41,W 2
"Sat, Mar 18, 2017",Oklahoma City Thunder,L,94,110,27,42,L 1
"Sun, Mar 19, 2017",San Antonio Spurs,L,102,118,27,43,L 2
"Wed, Mar 22, 2017",Milwaukee Bucks,L,98,116,27,44,L 3
"Fri, Mar 24, 2017",Golden State Warriors,L,100,114,27,45,L 4
"Sun, Mar 26, 2017",Los Angeles Clippers,W,98,97,28,45,W 1
"Mon, Mar 27, 2017",Memphis Grizzlies,W,91,90,29,45,W 2
"Wed, Mar 29, 2017",Utah Jazz,L,82,112,29,46,L 1
"Fri, Mar 31, 2017",New Orleans Pelicans,L,89,117,29,47,L 2
"Sat, Apr 1, 2017",Minnesota Timberwolves,W,123,117,30,47,W 1
"Tue, Apr 4, 2017",Dallas Mavericks,W,98,87,31,47,W 2
"Fri, Apr 7, 2017",Los Angeles Lakers,L,94,98,31,48,L 1
"Sun, Apr 9, 2017",Houston Rockets,L,128,135,31,49,L 2
"Tue, Apr 11, 2017",Phoenix Suns,W,129,104,32,49,W 1
"Wed, Apr 12, 2017",Los Angeles Clippers,L,95,115,32,50,L 1
