date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Tue, Oct 17, 2017",Cleveland Cavaliers,L,99,102,0,1,L 1
"Wed, Oct 18, 2017",Milwaukee Bucks,L,100,108,0,2,L 2
"Fri, Oct 20, 2017",Philadelphia 76ers,W,102,92,1,2,W 1
"Tue, Oct 24, 2017",New York Knicks,W,110,89,2,2,W 2
"Thu, Oct 26, 2017",Milwaukee Bucks,W,96,89,3,2,W 3
"Sat, Oct 28, 2017",Miami Heat,W,96,90,4,2,W 4
"Mon, Oct 30, 2017",San Antonio Spurs,W,108,94,5,2,W 5
"Wed, Nov 1, 2017",Sacramento Kings,W,113,86,6,2,W 6
"Fri, Nov 3, 2017",Oklahoma City Thunder,W,101,94,7,2,W 7
"Sun, Nov 5, 2017",Orlando Magic,W,104,88,8,2,W 8
"Mon, Nov 6, 2017",Atlanta Hawks,W,110,107,9,2,W 9
"Wed, Nov 8, 2017",Los Angeles Lakers,W,107,96,10,2,W 10
"Fri, Nov 10, 2017",Charlotte Hornets,W,90,87,11,2,W 11
"Sun, Nov 12, 2017",Toronto Raptors,W,95,94,12,2,W 12
"Tue, Nov 14, 2017",Brooklyn Nets,W,109,102,13,2,W 13
"Thu, Nov 16, 2017",Golden State Warriors,W,92,88,14,2,W 14
"Sat, Nov 18, 2017",Atlanta Hawks,W,110,99,15,2,W 15
"Mon, Nov 20, 2017",Dallas Mavericks,W,110,102,16,2,W 16
"Wed, Nov 22, 2017",Miami Heat,L,98,104,16,3,L 1
"Fri, Nov 24, 2017",Orlando Magic,W,118,103,17,3,W 1
"Sat, Nov 25, 2017",Indiana Pacers,W,108,98,18,3,W 2
"Mon, Nov 27, 2017",Detroit Pistons,L,108,118,18,4,L 1
"Thu, Nov 30, 2017",Philadelphia 76ers,W,108,97,19,4,W 1
"Sat, Dec 2, 2017",Phoenix Suns,W,116,111,20,4,W 2
"Mon, Dec 4, 2017",Milwaukee Bucks,W,111,100,21,4,W 3
"Wed, Dec 6, 2017",Dallas Mavericks,W,97,90,22,4,W 4
"Fri, Dec 8, 2017",San Antonio Spurs,L,102,105,22,5,L 1
"Sun, Dec 10, 2017",Detroit Pistons,W,91,81,23,5,W 1
"Mon, Dec 11, 2017",Chicago Bulls,L,85,108,23,6,L 1
"Wed, Dec 13, 2017",Denver Nuggets,W,124,118,24,6,W 1
"Fri, Dec 15, 2017",Utah Jazz,L,95,107,24,7,L 1
"Sat, Dec 16, 2017",Memphis Grizzlies,W,102,93,25,7,W 1
"Mon, Dec 18, 2017",Indiana Pacers,W,112,111,26,7,W 2
"Wed, Dec 20, 2017",Miami Heat,L,89,90,26,8,L 1
"Thu, Dec 21, 2017",New York Knicks,L,93,102,26,9,L 2
"Sat, Dec 23, 2017",Chicago Bulls,W,117,92,27,9,W 1
"Mon, Dec 25, 2017",Washington Wizards,L,103,111,27,10,L 1
"Wed, Dec 27, 2017",Charlotte Hornets,W,102,91,28,10,W 1
"Thu, Dec 28, 2017",Houston Rockets,W,99,98,29,10,W 2
"Sun, Dec 31, 2017",Brooklyn Nets,W,108,105,30,10,W 3
"Wed, Jan 3, 2018",Cleveland Cavaliers,W,102,88,31,10,W 4
"Fri, Jan 5, 2018",Minnesota Timberwolves,W,91,84,32,10,W 5
"Sat, Jan 6, 2018",Brooklyn Nets,W,87,85,33,10,W 6
"Thu, Jan 11, 2018",Philadelphia 76ers,W,114,103,34,10,W 7
