date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 18, 2017",Boston Celtics,W,108,100,1,0,W 1
"Fri, Oct 20, 2017",Cleveland Cavaliers,L,97,116,1,1,L 1
"Sat, Oct 21, 2017",Portland Trail Blazers,W,113,110,2,1,W 1
"Mon, Oct 23, 2017",Charlotte Hornets,W,103,94,3,1,W 2
"Thu, Oct 26, 2017",Boston Celtics,L,89,96,3,2,L 1
"Sun, Oct 29, 2017",Atlanta Hawks,W,117,106,4,2,W 1
"Tue, Oct 31, 2017",Oklahoma City Thunder,L,91,110,4,3,L 1
"Wed, Nov 1, 2017",Charlotte Hornets,L,121,126,4,4,L 2
"Fri, Nov 3, 2017",Detroit Pistons,L,96,105,4,5,L 3
"Tue, Nov 7, 2017",Cleveland Cavaliers,L,119,124,4,6,L 4
"Fri, Nov 10, 2017",San Antonio Spurs,W,94,87,5,6,W 1
"Sat, Nov 11, 2017",Los Angeles Lakers,W,98,90,6,6,W 2
"Mon, Nov 13, 2017",Memphis Grizzlies,W,110,103,7,6,W 3
"Wed, Nov 15, 2017",Detroit Pistons,W,99,95,8,6,W 4
"Sat, Nov 18, 2017",Dallas Mavericks,L,79,111,8,7,L 1
"Mon, Nov 20, 2017",Washington Wizards,L,88,99,8,8,L 2
"Wed, Nov 22, 2017",Phoenix Suns,W,113,107,9,8,W 1
"Sat, Nov 25, 2017",Utah Jazz,L,108,121,9,9,L 1
"Tue, Nov 28, 2017",Sacramento Kings,W,112,87,10,9,W 1
"Thu, Nov 30, 2017",Portland Trail Blazers,W,103,91,11,9,W 2
"Sat, Dec 2, 2017",Sacramento Kings,W,109,104,12,9,W 3
"Mon, Dec 4, 2017",Boston Celtics,L,100,111,12,10,L 1
"Wed, Dec 6, 2017",Detroit Pistons,W,104,100,13,10,W 1
"Fri, Dec 8, 2017",Dallas Mavericks,W,109,102,14,10,W 2
"Sat, Dec 9, 2017",Utah Jazz,W,117,100,15,10,W 3
"Wed, Dec 13, 2017",New Orleans Pelicans,L,108,115,15,11,L 1
