date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 18, 2017",Washington Wizards,L,115,120,0,1,L 1
"Fri, Oct 20, 2017",Boston Celtics,L,92,102,0,2,L 2
"Sat, Oct 21, 2017",Toronto Raptors,L,94,128,0,3,L 3
"Mon, Oct 23, 2017",Detroit Pistons,W,97,86,1,3,W 1
"Wed, Oct 25, 2017",Houston Rockets,L,104,105,1,4,L 1
"Sat, Oct 28, 2017",Dallas Mavericks,W,112,110,2,4,W 1
"Mon, Oct 30, 2017",Houston Rockets,W,115,107,3,4,W 2
"Wed, Nov 1, 2017",Atlanta Hawks,W,119,109,4,4,W 3
"Fri, Nov 3, 2017",Indiana Pacers,W,121,110,5,4,W 4
"Tue, Nov 7, 2017",Utah Jazz,W,104,97,6,4,W 5
"Thu, Nov 9, 2017",Sacramento Kings,L,108,109,6,5,L 1
"Sat, Nov 11, 2017",Golden State Warriors,L,114,135,6,6,L 2
"Mon, Nov 13, 2017",Los Angeles Clippers,W,109,105,7,6,W 1
"Wed, Nov 15, 2017",Los Angeles Lakers,W,115,109,8,6,W 2
"Sat, Nov 18, 2017",Golden State Warriors,L,116,124,8,7,L 1
"Mon, Nov 20, 2017",Utah Jazz,W,107,86,9,7,W 1
"Wed, Nov 22, 2017",Portland Trail Blazers,W,101,81,10,7,W 2
"Sat, Nov 25, 2017",Orlando Magic,W,130,111,11,7,W 3
"Mon, Nov 27, 2017",Cleveland Cavaliers,L,91,113,11,8,L 1
"Wed, Nov 29, 2017",Washington Wizards,W,118,113,12,8,W 1
"Thu, Nov 30, 2017",Boston Celtics,L,97,108,12,9,L 1
"Sat, Dec 2, 2017",Detroit Pistons,W,108,103,13,9,W 1
"Mon, Dec 4, 2017",Phoenix Suns,L,101,115,13,10,L 1
"Thu, Dec 7, 2017",Los Angeles Lakers,L,104,107,13,11,L 2
"Sat, Dec 9, 2017",Cleveland Cavaliers,L,98,105,13,12,L 3
"Sun, Dec 10, 2017",New Orleans Pelicans,L,124,131,13,13,L 4
"Tue, Dec 12, 2017",Minnesota Timberwolves,W,118,112,14,13,W 1
"Fri, Dec 15, 2017",Oklahoma City Thunder,L,117,119,14,14,L 1
"Mon, Dec 18, 2017",Chicago Bulls,L,115,117,14,15,L 2
"Tue, Dec 19, 2017",Sacramento Kings,L,95,101,14,16,L 3
"Thu, Dec 21, 2017",Toronto Raptors,L,109,114,14,17,L 4
"Sat, Dec 23, 2017",Toronto Raptors,L,86,102,14,18,L 5
"Mon, Dec 25, 2017",New York Knicks,W,105,98,15,18,W 1
"Thu, Dec 28, 2017",Portland Trail Blazers,L,110,114,15,19,L 1
"Sat, Dec 30, 2017",Denver Nuggets,W,107,102,16,19,W 1
"Sun, Dec 31, 2017",Phoenix Suns,W,123,110,17,19,W 2
"Wed, Jan 3, 2018",San Antonio Spurs,W,112,106,18,19,W 3
"Fri, Jan 5, 2018",Detroit Pistons,W,114,78,19,19,W 4
"Thu, Jan 11, 2018",Boston Celtics,L,103,114,19,20,L 1
"Mon, Jan 15, 2018",Toronto Raptors,W,117,111,20,20,W 1
"Thu, Jan 18, 2018",Boston Celtics,W,89,80,21,20,W 2
"Sat, Jan 20, 2018",Milwaukee Bucks,W,116,94,22,20,W 3
"Mon, Jan 22, 2018",Memphis Grizzlies,L,101,105,22,21,L 1
"Wed, Jan 24, 2018",Chicago Bulls,W,115,101,23,21,W 1
"Fri, Jan 26, 2018",San Antonio Spurs,W,97,78,24,21,W 2
"Sun, Jan 28, 2018",Oklahoma City Thunder,L,112,122,24,22,L 1
"Mon, Jan 29, 2018",Milwaukee Bucks,L,95,107,24,23,L 2
"Wed, Jan 31, 2018",Brooklyn Nets,L,108,116,24,24,L 3
"Fri, Feb 2, 2018",Miami Heat,W,103,97,25,24,W 1
"Sat, Feb 3, 2018",Indiana Pacers,L,92,100,25,25,L 1
"Tue, Feb 6, 2018",Washington Wizards,W,115,102,26,25,W 1
"Fri, Feb 9, 2018",New Orleans Pelicans,W,100,82,27,25,W 2
