date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 18, 2017",Portland Trail Blazers,L,76,124,0,1,L 1
"Fri, Oct 20, 2017",Los Angeles Lakers,L,130,132,0,2,L 2
"Sat, Oct 21, 2017",Los Angeles Clippers,L,88,130,0,3,L 3
"Mon, Oct 23, 2017",Sacramento Kings,W,117,115,1,3,W 1
"Wed, Oct 25, 2017",Utah Jazz,W,97,88,2,3,W 2
"Sat, Oct 28, 2017",Portland Trail Blazers,L,107,114,2,4,L 1
"Tue, Oct 31, 2017",Brooklyn Nets,W,122,114,3,4,W 1
"Wed, Nov 1, 2017",Washington Wizards,W,122,116,4,4,W 2
"Fri, Nov 3, 2017",New York Knicks,L,107,120,4,5,L 1
"Sun, Nov 5, 2017",San Antonio Spurs,L,95,112,4,6,L 2
"Mon, Nov 6, 2017",Brooklyn Nets,L,92,98,4,7,L 3
"Wed, Nov 8, 2017",Miami Heat,L,115,126,4,8,L 4
"Fri, Nov 10, 2017",Orlando Magic,L,112,128,4,9,L 5
"Sat, Nov 11, 2017",Minnesota Timberwolves,W,118,110,5,9,W 1
"Mon, Nov 13, 2017",Los Angeles Lakers,L,93,100,5,10,L 1
"Thu, Nov 16, 2017",Houston Rockets,L,116,142,5,11,L 2
"Fri, Nov 17, 2017",Los Angeles Lakers,W,122,113,6,11,W 1
"Sun, Nov 19, 2017",Chicago Bulls,W,113,105,7,11,W 2
"Wed, Nov 22, 2017",Milwaukee Bucks,L,107,113,7,12,L 1
"Fri, Nov 24, 2017",New Orleans Pelicans,L,91,115,7,13,L 2
"Sun, Nov 26, 2017",Minnesota Timberwolves,L,108,119,7,14,L 3
"Tue, Nov 28, 2017",Chicago Bulls,W,104,99,8,14,W 1
"Wed, Nov 29, 2017",Detroit Pistons,L,107,131,8,15,L 1
"Sat, Dec 2, 2017",Boston Celtics,L,111,116,8,16,L 2
"Mon, Dec 4, 2017",Philadelphia 76ers,W,115,101,9,16,W 1
"Tue, Dec 5, 2017",Toronto Raptors,L,113,126,9,17,L 1
"Thu, Dec 7, 2017",Washington Wizards,L,99,109,9,18,L 2
"Sat, Dec 9, 2017",San Antonio Spurs,L,101,104,9,19,L 3
"Tue, Dec 12, 2017",Sacramento Kings,L,92,99,9,20,L 4
"Wed, Dec 13, 2017",Toronto Raptors,L,109,115,9,21,L 5
"Sat, Dec 16, 2017",Minnesota Timberwolves,W,108,106,10,21,W 1
"Mon, Dec 18, 2017",Dallas Mavericks,W,97,91,11,21,W 2
"Wed, Dec 20, 2017",Los Angeles Clippers,L,95,108,11,22,L 1
"Thu, Dec 21, 2017",Memphis Grizzlies,W,97,95,12,22,W 1
"Sat, Dec 23, 2017",Minnesota Timberwolves,L,106,115,12,23,L 1
"Tue, Dec 26, 2017",Memphis Grizzlies,W,99,97,13,23,W 1
"Fri, Dec 29, 2017",Sacramento Kings,W,111,101,14,23,W 2
"Sun, Dec 31, 2017",Philadelphia 76ers,L,110,123,14,24,L 1
"Tue, Jan 2, 2018",Atlanta Hawks,W,104,103,15,24,W 1
"Wed, Jan 3, 2018",Denver Nuggets,L,111,134,15,25,L 1
"Fri, Jan 5, 2018",San Antonio Spurs,L,89,103,15,26,L 2
"Sun, Jan 7, 2018",Oklahoma City Thunder,W,114,100,16,26,W 1
"Fri, Jan 12, 2018",Houston Rockets,L,95,112,16,27,L 1
"Sun, Jan 14, 2018",Indiana Pacers,L,97,120,16,28,L 2
"Tue, Jan 16, 2018",Portland Trail Blazers,L,111,118,16,29,L 3
"Fri, Jan 19, 2018",Denver Nuggets,W,108,100,17,29,W 1
"Mon, Jan 22, 2018",Milwaukee Bucks,L,105,109,17,30,L 1
"Wed, Jan 24, 2018",Indiana Pacers,L,101,116,17,31,L 2
"Fri, Jan 26, 2018",New York Knicks,L,85,107,17,32,L 3
