date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 18, 2017",Phoenix Suns,W,124,76,1,0,W 1
"Fri, Oct 20, 2017",Indiana Pacers,W,114,96,2,0,W 2
"Sat, Oct 21, 2017",Milwaukee Bucks,L,110,113,2,1,L 1
"Tue, Oct 24, 2017",New Orleans Pelicans,W,103,93,3,1,W 1
"Thu, Oct 26, 2017",Los Angeles Clippers,L,103,104,3,2,L 1
"Sat, Oct 28, 2017",Phoenix Suns,W,114,107,4,2,W 1
"Mon, Oct 30, 2017",Toronto Raptors,L,85,99,4,3,L 1
"Wed, Nov 1, 2017",Utah Jazz,L,103,112,4,4,L 2
"Thu, Nov 2, 2017",Los Angeles Lakers,W,113,110,5,4,W 1
"Sun, Nov 5, 2017",Oklahoma City Thunder,W,103,99,6,4,W 2
"Tue, Nov 7, 2017",Memphis Grizzlies,L,97,98,6,5,L 1
"Fri, Nov 10, 2017",Brooklyn Nets,L,97,101,6,6,L 2
"Mon, Nov 13, 2017",Denver Nuggets,W,99,82,7,6,W 1
"Wed, Nov 15, 2017",Orlando Magic,W,99,94,8,6,W 2
"Fri, Nov 17, 2017",Sacramento Kings,L,82,86,8,7,L 1
"Sat, Nov 18, 2017",Sacramento Kings,W,102,90,9,7,W 1
"Mon, Nov 20, 2017",Memphis Grizzlies,W,100,92,10,7,W 2
"Wed, Nov 22, 2017",Philadelphia 76ers,L,81,101,10,8,L 1
"Fri, Nov 24, 2017",Brooklyn Nets,W,127,125,11,8,W 1
"Sat, Nov 25, 2017",Washington Wizards,W,108,105,12,8,W 2
"Mon, Nov 27, 2017",New York Knicks,W,103,91,13,8,W 3
"Thu, Nov 30, 2017",Milwaukee Bucks,L,91,103,13,9,L 1
"Sat, Dec 2, 2017",New Orleans Pelicans,L,116,123,13,10,L 2
"Tue, Dec 5, 2017",Washington Wizards,L,92,106,13,11,L 3
"Sat, Dec 9, 2017",Houston Rockets,L,117,124,13,12,L 4
"Mon, Dec 11, 2017",Golden State Warriors,L,104,111,13,13,L 5
"Wed, Dec 13, 2017",Miami Heat,W,102,95,14,13,W 1
"Fri, Dec 15, 2017",Orlando Magic,W,95,88,15,13,W 2
"Sat, Dec 16, 2017",Charlotte Hornets,W,93,91,16,13,W 3
"Mon, Dec 18, 2017",Minnesota Timberwolves,L,107,108,16,14,L 1
"Wed, Dec 20, 2017",San Antonio Spurs,L,91,93,16,15,L 2
"Fri, Dec 22, 2017",Denver Nuggets,L,85,102,16,16,L 3
"Sat, Dec 23, 2017",Los Angeles Lakers,W,95,92,17,16,W 1
"Thu, Dec 28, 2017",Philadelphia 76ers,W,114,110,18,16,W 2
"Sat, Dec 30, 2017",Atlanta Hawks,L,89,104,18,17,L 1
"Mon, Jan 1, 2018",Chicago Bulls,W,124,120,19,17,W 1
"Tue, Jan 2, 2018",Cleveland Cavaliers,L,110,127,19,18,L 1
"Fri, Jan 5, 2018",Atlanta Hawks,W,110,89,20,18,W 1
"Sun, Jan 7, 2018",San Antonio Spurs,W,111,110,21,18,W 2
"Tue, Jan 9, 2018",Oklahoma City Thunder,W,117,106,22,18,W 3
"Wed, Jan 10, 2018",Houston Rockets,L,112,121,22,19,L 1
"Fri, Jan 12, 2018",New Orleans Pelicans,L,113,119,22,20,L 2
"Sun, Jan 14, 2018",Minnesota Timberwolves,L,103,120,22,21,L 3
"Tue, Jan 16, 2018",Phoenix Suns,W,118,111,23,21,W 1
"Thu, Jan 18, 2018",Indiana Pacers,W,100,86,24,21,W 2
"Sat, Jan 20, 2018",Dallas Mavericks,W,117,108,25,21,W 3
"Mon, Jan 22, 2018",Denver Nuggets,L,101,104,25,22,L 1
"Wed, Jan 24, 2018",Minnesota Timberwolves,W,123,114,26,22,W 1
"Fri, Jan 26, 2018",Dallas Mavericks,W,107,93,27,22,W 2
"Tue, Jan 30, 2018",Los Angeles Clippers,W,104,96,28,22,W 3
"Wed, Jan 31, 2018",Chicago Bulls,W,124,108,29,22,W 4
"Fri, Feb 2, 2018",Toronto Raptors,L,105,130,29,23,L 1
"Sun, Feb 4, 2018",Boston Celtics,L,96,97,29,24,L 2
"Mon, Feb 5, 2018",Detroit Pistons,L,91,111,29,25,L 3
"Thu, Feb 8, 2018",Charlotte Hornets,W,109,103,30,25,W 1
