date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 17, 2018",New York Knicks,L,107,126,0,1,L 1
"Fri, Oct 19, 2018",Memphis Grizzlies,L,117,131,0,2,L 2
"Sun, Oct 21, 2018",Cleveland Cavaliers,W,133,111,1,2,W 1
"Wed, Oct 24, 2018",Dallas Mavericks,W,111,104,2,2,W 2
"Sat, Oct 27, 2018",Chicago Bulls,L,85,97,2,3,L 1
"Mon, Oct 29, 2018",Philadelphia 76ers,L,92,113,2,4,L 2
"Tue, Oct 30, 2018",Cleveland Cavaliers,L,114,136,2,5,L 3
"Thu, Nov 1, 2018",Sacramento Kings,L,115,146,2,6,L 4
"Sat, Nov 3, 2018",Miami Heat,W,123,118,3,6,W 1
"Tue, Nov 6, 2018",Charlotte Hornets,L,102,113,3,7,L 1
"Wed, Nov 7, 2018",New York Knicks,L,107,112,3,8,L 2
"Fri, Nov 9, 2018",Detroit Pistons,L,109,124,3,9,L 3
"Sun, Nov 11, 2018",Los Angeles Lakers,L,106,107,3,10,L 4
"Tue, Nov 13, 2018",Golden State Warriors,L,103,110,3,11,L 5
"Thu, Nov 15, 2018",Denver Nuggets,L,93,138,3,12,L 6
"Sat, Nov 17, 2018",Indiana Pacers,L,89,97,3,13,L 7
"Mon, Nov 19, 2018",Los Angeles Clippers,L,119,127,3,14,L 8
"Wed, Nov 21, 2018",Toronto Raptors,L,108,124,3,15,L 9
"Fri, Nov 23, 2018",Boston Celtics,L,96,114,3,16,L 10
"Sun, Nov 25, 2018",Charlotte Hornets,W,124,123,4,16,W 1
"Tue, Nov 27, 2018",Miami Heat,W,115,113,5,16,W 2
"Wed, Nov 28, 2018",Charlotte Hornets,L,94,108,5,17,L 1
"Fri, Nov 30, 2018",Oklahoma City Thunder,L,109,124,5,18,L 2
"Mon, Dec 3, 2018",Golden State Warriors,L,111,128,5,19,L 3
"Wed, Dec 5, 2018",Washington Wizards,L,117,131,5,20,L 4
"Sat, Dec 8, 2018",Denver Nuggets,W,106,98,6,20,W 1
"Wed, Dec 12, 2018",Dallas Mavericks,L,107,114,6,21,L 1
"Fri, Dec 14, 2018",Boston Celtics,L,108,129,6,22,L 2
"Sun, Dec 16, 2018",Brooklyn Nets,L,127,144,6,23,L 3
"Tue, Dec 18, 2018",Washington Wizards,W,118,110,7,23,W 1
"Fri, Dec 21, 2018",New York Knicks,W,114,107,8,23,W 2
"Sun, Dec 23, 2018",Detroit Pistons,W,98,95,9,23,W 3
"Wed, Dec 26, 2018",Indiana Pacers,L,121,129,9,24,L 1
"Fri, Dec 28, 2018",Minnesota Timberwolves,W,123,120,10,24,W 1
"Sat, Dec 29, 2018",Cleveland Cavaliers,W,111,108,11,24,W 2
"Mon, Dec 31, 2018",Indiana Pacers,L,108,116,11,25,L 1
"Wed, Jan 2, 2019",Washington Wizards,L,98,114,11,26,L 2
"Fri, Jan 4, 2019",Milwaukee Bucks,L,112,144,11,27,L 3
"Sun, Jan 6, 2019",Miami Heat,W,106,82,12,27,W 1
"Tue, Jan 8, 2019",Toronto Raptors,L,101,104,12,28,L 1
