date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 17, 2018",Los Angeles Clippers,W,107,98,1,0,W 1
"Sat, Oct 20, 2018",Phoenix Suns,W,119,91,2,0,W 2
"Sun, Oct 21, 2018",Golden State Warriors,W,100,98,3,0,W 3
"Tue, Oct 23, 2018",Sacramento Kings,W,126,112,4,0,W 4
"Thu, Oct 25, 2018",Los Angeles Lakers,L,114,121,4,1,L 1
"Mon, Oct 29, 2018",New Orleans Pelicans,W,116,111,5,1,W 1
"Wed, Oct 31, 2018",Chicago Bulls,W,108,107,6,1,W 2
"Thu, Nov 1, 2018",Cleveland Cavaliers,W,110,91,7,1,W 3
"Sat, Nov 3, 2018",Utah Jazz,W,103,88,8,1,W 4
"Mon, Nov 5, 2018",Boston Celtics,W,115,107,9,1,W 5
"Wed, Nov 7, 2018",Memphis Grizzlies,L,87,89,9,2,L 1
"Fri, Nov 9, 2018",Brooklyn Nets,L,110,112,9,3,L 2
"Sun, Nov 11, 2018",Milwaukee Bucks,L,114,121,9,4,L 3
"Tue, Nov 13, 2018",Houston Rockets,L,99,109,9,5,L 4
"Thu, Nov 15, 2018",Atlanta Hawks,W,138,93,10,5,W 1
"Sat, Nov 17, 2018",New Orleans Pelicans,L,115,125,10,6,L 1
"Mon, Nov 19, 2018",Milwaukee Bucks,L,98,104,10,7,L 2
"Wed, Nov 21, 2018",Minnesota Timberwolves,W,103,101,11,7,W 1
"Fri, Nov 23, 2018",Orlando Magic,W,112,87,12,7,W 2
"Sat, Nov 24, 2018",Oklahoma City Thunder,W,105,98,13,7,W 3
"Tue, Nov 27, 2018",Los Angeles Lakers,W,117,85,14,7,W 4
"Fri, Nov 30, 2018",Portland Trail Blazers,W,113,112,15,7,W 5
"Mon, Dec 3, 2018",Toronto Raptors,W,106,103,16,7,W 6
"Wed, Dec 5, 2018",Orlando Magic,W,124,118,17,7,W 7
"Fri, Dec 7, 2018",Charlotte Hornets,L,107,113,17,8,L 1
"Sat, Dec 8, 2018",Atlanta Hawks,L,98,106,17,9,L 2
"Mon, Dec 10, 2018",Memphis Grizzlies,W,105,99,18,9,W 1
