date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 17, 2018",Minnesota Timberwolves,W,112,108,1,0,W 1
"Sat, Oct 20, 2018",Portland Trail Blazers,L,108,121,1,1,L 1
"Mon, Oct 22, 2018",Los Angeles Lakers,W,143,142,2,1,W 1
"Wed, Oct 24, 2018",Indiana Pacers,L,96,116,2,2,L 1
"Sat, Oct 27, 2018",Los Angeles Lakers,W,110,106,3,2,W 1
"Mon, Oct 29, 2018",Dallas Mavericks,W,113,108,4,2,W 2
"Wed, Oct 31, 2018",Phoenix Suns,W,120,90,5,2,W 3
"Sat, Nov 3, 2018",New Orleans Pelicans,W,109,95,6,2,W 4
"Sun, Nov 4, 2018",Orlando Magic,L,110,117,6,3,L 1
"Wed, Nov 7, 2018",Miami Heat,L,88,95,6,4,L 2
"Sat, Nov 10, 2018",Houston Rockets,W,96,89,7,4,W 1
"Mon, Nov 12, 2018",Sacramento Kings,L,99,104,7,5,L 1
"Wed, Nov 14, 2018",Phoenix Suns,L,96,116,7,6,L 2
"Thu, Nov 15, 2018",Los Angeles Clippers,L,111,116,7,7,L 3
"Sun, Nov 18, 2018",Golden State Warriors,W,104,92,8,7,W 1
"Mon, Nov 19, 2018",New Orleans Pelicans,L,126,140,8,8,L 1
"Wed, Nov 21, 2018",Memphis Grizzlies,L,103,104,8,9,L 2
"Fri, Nov 23, 2018",Indiana Pacers,W,111,100,9,9,W 1
"Sat, Nov 24, 2018",Milwaukee Bucks,L,129,135,9,10,L 1
"Mon, Nov 26, 2018",Chicago Bulls,W,108,107,10,10,W 1
"Wed, Nov 28, 2018",Minnesota Timberwolves,L,89,128,10,11,L 1
"Fri, Nov 30, 2018",Houston Rockets,L,105,136,10,12,L 2
"Sun, Dec 2, 2018",Portland Trail Blazers,W,131,118,11,12,W 1
"Tue, Dec 4, 2018",Utah Jazz,L,105,139,11,13,L 1
"Wed, Dec 5, 2018",Los Angeles Lakers,L,113,121,11,14,L 2
"Fri, Dec 7, 2018",Los Angeles Lakers,W,133,120,12,14,W 1
"Sun, Dec 9, 2018",Utah Jazz,W,110,97,13,14,W 2
"Tue, Dec 11, 2018",Phoenix Suns,W,111,86,14,14,W 3
"Thu, Dec 13, 2018",Los Angeles Clippers,W,125,87,15,14,W 4
"Sat, Dec 15, 2018",Chicago Bulls,L,93,98,15,15,L 1
"Mon, Dec 17, 2018",Philadelphia 76ers,W,123,96,16,15,W 1
"Wed, Dec 19, 2018",Orlando Magic,W,129,90,17,15,W 2
"Fri, Dec 21, 2018",Minnesota Timberwolves,W,124,98,18,15,W 3
"Sat, Dec 22, 2018",Houston Rockets,L,101,108,18,16,L 1
"Wed, Dec 26, 2018",Denver Nuggets,W,111,103,19,16,W 1
"Fri, Dec 28, 2018",Denver Nuggets,L,99,102,19,17,L 1
"Sat, Dec 29, 2018",Los Angeles Clippers,W,122,111,20,17,W 1
"Mon, Dec 31, 2018",Boston Celtics,W,120,111,21,17,W 2
"Thu, Jan 3, 2019",Toronto Raptors,W,125,107,22,17,W 3
"Sat, Jan 5, 2019",Memphis Grizzlies,W,108,88,23,17,W 4
"Mon, Jan 7, 2019",Detroit Pistons,W,119,107,24,17,W 5
"Wed, Jan 9, 2019",Memphis Grizzlies,L,86,96,24,18,L 1
"Thu, Jan 10, 2019",Oklahoma City Thunder,W,154,147,25,18,W 1
"Sat, Jan 12, 2019",Oklahoma City Thunder,L,112,122,25,19,L 1
"Mon, Jan 14, 2019",Charlotte Hornets,L,93,108,25,20,L 2
"Wed, Jan 16, 2019",Dallas Mavericks,W,105,101,26,20,W 1
"Fri, Jan 18, 2019",Minnesota Timberwolves,W,116,113,27,20,W 2
"Sun, Jan 20, 2019",Los Angeles Clippers,L,95,103,27,21,L 1
"Wed, Jan 23, 2019",Philadelphia 76ers,L,120,122,27,22,L 2
