date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Tue, Oct 22, 2019",Los Angeles Clippers,L,102,112,0,1,L 1
"Fri, Oct 25, 2019",Utah Jazz,W,95,86,1,1,W 1
"Sun, Oct 27, 2019",Charlotte Hornets,W,120,101,2,1,W 2
"Tue, Oct 29, 2019",Memphis Grizzlies,W,120,91,3,1,W 3
"Fri, Nov 1, 2019",Dallas Mavericks,W,119,110,4,1,W 4
"Sun, Nov 3, 2019",San Antonio Spurs,W,103,96,5,1,W 5
"Tue, Nov 5, 2019",Chicago Bulls,W,118,112,6,1,W 6
"Fri, Nov 8, 2019",Miami Heat,W,95,80,7,1,W 7
"Sun, Nov 10, 2019",Toronto Raptors,L,104,113,7,2,L 1
"Tue, Nov 12, 2019",Phoenix Suns,W,123,115,8,2,W 1
"Wed, Nov 13, 2019",Golden State Warriors,W,120,94,9,2,W 2
"Fri, Nov 15, 2019",Sacramento Kings,W,99,97,10,2,W 3
"Sun, Nov 17, 2019",Atlanta Hawks,W,122,101,11,2,W 4
"Tue, Nov 19, 2019",Oklahoma City Thunder,W,112,107,12,2,W 5
"Fri, Nov 22, 2019",Oklahoma City Thunder,W,130,127,13,2,W 6
"Sat, Nov 23, 2019",Memphis Grizzlies,W,109,108,14,2,W 7
"Mon, Nov 25, 2019",San Antonio Spurs,W,114,104,15,2,W 8
"Wed, Nov 27, 2019",New Orleans Pelicans,W,114,110,16,2,W 9
"Fri, Nov 29, 2019",Washington Wizards,W,125,103,17,2,W 10
"Sun, Dec 1, 2019",Dallas Mavericks,L,100,114,17,3,L 1
"Tue, Dec 3, 2019",Denver Nuggets,W,105,96,18,3,W 1
"Wed, Dec 4, 2019",Utah Jazz,W,121,96,19,3,W 2
"Fri, Dec 6, 2019",Portland Trail Blazers,W,136,113,20,3,W 3
"Sun, Dec 8, 2019",Minnesota Timberwolves,W,142,125,21,3,W 4
"Wed, Dec 11, 2019",Orlando Magic,W,96,87,22,3,W 5
"Fri, Dec 13, 2019",Miami Heat,W,113,110,23,3,W 6
"Sun, Dec 15, 2019",Atlanta Hawks,W,101,96,24,3,W 7
"Tue, Dec 17, 2019",Indiana Pacers,L,102,105,24,4,L 1
"Thu, Dec 19, 2019",Milwaukee Bucks,L,104,111,24,5,L 2
"Sun, Dec 22, 2019",Denver Nuggets,L,104,128,24,6,L 3
"Wed, Dec 25, 2019",Los Angeles Clippers,L,106,111,24,7,L 4
"Sat, Dec 28, 2019",Portland Trail Blazers,W,128,120,25,7,W 1
"Sun, Dec 29, 2019",Dallas Mavericks,W,108,95,26,7,W 2
"Wed, Jan 1, 2020",Phoenix Suns,W,117,107,27,7,W 3
"Fri, Jan 3, 2020",New Orleans Pelicans,W,123,113,28,7,W 4
"Sun, Jan 5, 2020",Detroit Pistons,W,106,99,29,7,W 5
"Tue, Jan 7, 2020",New York Knicks,W,117,87,30,7,W 6
"Fri, Jan 10, 2020",Dallas Mavericks,W,129,114,31,7,W 7
"Sat, Jan 11, 2020",Oklahoma City Thunder,W,125,110,32,7,W 8
"Mon, Jan 13, 2020",Cleveland Cavaliers,W,128,99,33,7,W 9
"Wed, Jan 15, 2020",Orlando Magic,L,118,119,33,8,L 1
"Sat, Jan 18, 2020",Houston Rockets,W,124,115,34,8,W 1
"Mon, Jan 20, 2020",Boston Celtics,L,107,139,34,9,L 1
"Wed, Jan 22, 2020",New York Knicks,W,100,92,35,9,W 1
"Thu, Jan 23, 2020",Brooklyn Nets,W,128,113,36,9,W 2
"Sat, Jan 25, 2020",Philadelphia 76ers,L,91,108,36,10,L 1
"Fri, Jan 31, 2020",Portland Trail Blazers,L,119,127,36,11,L 2
"Sat, Feb 1, 2020",Sacramento Kings,W,129,113,37,11,W 1
"Tue, Feb 4, 2020",San Antonio Spurs,W,129,102,38,11,W 2
"Thu, Feb 6, 2020",Houston Rockets,L,111,121,38,12,L 1
"Sat, Feb 8, 2020",Golden State Warriors,W,125,120,39,12,W 1
"Mon, Feb 10, 2020",Phoenix Suns,W,125,100,40,12,W 2
"Wed, Feb 12, 2020",Denver Nuggets,W,120,116,41,12,W 3
"Fri, Feb 21, 2020",Memphis Grizzlies,W,117,105,42,12,W 4
"Sun, Feb 23, 2020",Boston Celtics,W,114,112,43,12,W 5
"Tue, Feb 25, 2020",New Orleans Pelicans,W,118,109,44,12,W 6
"Thu, Feb 27, 2020",Golden State Warriors,W,116,86,45,12,W 7
"Sat, Feb 29, 2020",Memphis Grizzlies,L,88,105,45,13,L 1
"Sun, Mar 1, 2020",New Orleans Pelicans,W,122,114,46,13,W 1
"Tue, Mar 3, 2020",Philadelphia 76ers,W,120,107,47,13,W 2
"Fri, Mar 6, 2020",Milwaukee Bucks,W,113,103,48,13,W 3
"Sun, Mar 8, 2020",Los Angeles Clippers,W,112,103,49,13,W 4
"Tue, Mar 10, 2020",Brooklyn Nets,L,102,104,49,14,L 1
"Thu, Jul 30, 2020",Los Angeles Clippers,W,103,101,50,14,W 1
"Sat, Aug 1, 2020",Toronto Raptors,L,92,107,50,15,L 1
"Mon, Aug 3, 2020",Utah Jazz,W,116,108,51,15,W 1
"Wed, Aug 5, 2020",Oklahoma City Thunder,L,86,105,51,16,L 1
"Thu, Aug 6, 2020",Houston Rockets,L,97,113,51,17,L 2
"Sat, Aug 8, 2020",Indiana Pacers,L,111,116,51,18,L 3
"Mon, Aug 10, 2020",Denver Nuggets,W,124,121,52,18,W 1
"Thu, Aug 13, 2020",Sacramento Kings,L,122,136,52,19,L 1
"Tue, Aug 18, 2020",Portland Trail Blazers,L,93,100,0,1,L 1
"Thu, Aug 20, 2020",Portland Trail Blazers,W,111,88,1,1,W 1
"Sat, Aug 22, 2020",Portland Trail Blazers,W,116,108,2,1,W 2
"Mon, Aug 24, 2020",Portland Trail Blazers,W,135,115,3,1,W 3
"Sat, Aug 29, 2020",Portland Trail Blazers,W,131,122,4,1,W 4
"Fri, Sep 4, 2020",Houston Rockets,L,97,112,4,2,L 1
"Sun, Sep 6, 2020",Houston Rockets,W,117,109,5,2,W 1
"Tue, Sep 8, 2020",Houston Rockets,W,112,102,6,2,W 2
"Thu, Sep 10, 2020",Houston Rockets,W,110,100,7,2,W 3
"Sat, Sep 12, 2020",Houston Rockets,W,119,96,8,2,W 4
"Fri, Sep 18, 2020",Denver Nuggets,W,126,114,9,2,W 5
"Sun, Sep 20, 2020",Denver Nuggets,W,105,103,10,2,W 6
"Tue, Sep 22, 2020",Denver Nuggets,L,106,114,10,3,L 1
"Thu, Sep 24, 2020",Denver Nuggets,W,114,108,11,3,W 1
"Sat, Sep 26, 2020",Denver Nuggets,W,117,107,12,3,W 2
"Wed, Sep 30, 2020",Miami Heat,W,116,98,13,3,W 3
"Fri, Oct 2, 2020",Miami Heat,W,124,114,14,3,W 4
"Sun, Oct 4, 2020",Miami Heat,L,104,115,14,4,L 1
"Tue, Oct 6, 2020",Miami Heat,W,102,96,15,4,W 1
"Fri, Oct 9, 2020",Miami Heat,L,108,111,15,5,L 1
"Sun, Oct 11, 2020",Miami Heat,W,106,93,16,5,W 1
