date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",San Antonio Spurs,L,111,120,0,1,L 1
"Fri, Oct 25, 2019",Brooklyn Nets,L,109,113,0,2,L 2
"Sat, Oct 26, 2019",Boston Celtics,L,95,118,0,3,L 3
"Mon, Oct 28, 2019",Chicago Bulls,W,105,98,1,3,W 1
"Wed, Oct 30, 2019",Orlando Magic,L,83,95,1,4,L 1
"Fri, Nov 1, 2019",Boston Celtics,L,102,104,1,5,L 2
"Sun, Nov 3, 2019",Sacramento Kings,L,92,113,1,6,L 3
"Wed, Nov 6, 2019",Detroit Pistons,L,102,122,1,7,L 4
"Fri, Nov 8, 2019",Dallas Mavericks,W,106,102,2,7,W 1
"Sun, Nov 10, 2019",Cleveland Cavaliers,L,87,108,2,8,L 1
"Tue, Nov 12, 2019",Chicago Bulls,L,102,120,2,9,L 2
"Thu, Nov 14, 2019",Dallas Mavericks,W,106,103,3,9,W 1
"Sat, Nov 16, 2019",Charlotte Hornets,L,102,103,3,10,L 1
"Mon, Nov 18, 2019",Cleveland Cavaliers,W,123,105,4,10,W 1
"Wed, Nov 20, 2019",Philadelphia 76ers,L,104,109,4,11,L 1
"Sat, Nov 23, 2019",San Antonio Spurs,L,104,111,4,12,L 2
"Sun, Nov 24, 2019",Brooklyn Nets,L,101,103,4,13,L 3
"Wed, Nov 27, 2019",Toronto Raptors,L,98,126,4,14,L 4
"Fri, Nov 29, 2019",Philadelphia 76ers,L,95,101,4,15,L 5
"Sun, Dec 1, 2019",Boston Celtics,L,104,113,4,16,L 6
"Mon, Dec 2, 2019",Milwaukee Bucks,L,88,132,4,17,L 7
"Thu, Dec 5, 2019",Denver Nuggets,L,92,129,4,18,L 8
"Sat, Dec 7, 2019",Indiana Pacers,L,103,104,4,19,L 9
"Tue, Dec 10, 2019",Portland Trail Blazers,L,87,115,4,20,L 10
"Wed, Dec 11, 2019",Golden State Warriors,W,124,122,5,20,W 1
"Fri, Dec 13, 2019",Sacramento Kings,W,103,101,6,20,W 2
"Sun, Dec 15, 2019",Denver Nuggets,L,105,111,6,21,L 1
"Tue, Dec 17, 2019",Atlanta Hawks,W,143,120,7,21,W 1
"Fri, Dec 20, 2019",Miami Heat,L,114,129,7,22,L 1
"Sat, Dec 21, 2019",Milwaukee Bucks,L,102,123,7,23,L 2
"Mon, Dec 23, 2019",Washington Wizards,L,115,121,7,24,L 3
"Thu, Dec 26, 2019",Brooklyn Nets,W,94,82,8,24,W 1
"Sat, Dec 28, 2019",Washington Wizards,W,107,100,9,24,W 2
"Wed, Jan 1, 2020",Portland Trail Blazers,W,117,93,10,24,W 3
"Fri, Jan 3, 2020",Phoenix Suns,L,112,120,10,25,L 1
"Sun, Jan 5, 2020",Los Angeles Clippers,L,132,135,10,26,L 2
"Tue, Jan 7, 2020",Los Angeles Lakers,L,87,117,10,27,L 3
"Wed, Jan 8, 2020",Utah Jazz,L,104,128,10,28,L 4
"Fri, Jan 10, 2020",New Orleans Pelicans,L,111,123,10,29,L 5
"Sun, Jan 12, 2020",Miami Heat,W,124,121,11,29,W 1
"Tue, Jan 14, 2020",Milwaukee Bucks,L,102,128,11,30,L 1
"Thu, Jan 16, 2020",Phoenix Suns,L,98,121,11,31,L 2
"Sat, Jan 18, 2020",Philadelphia 76ers,L,87,90,11,32,L 3
"Mon, Jan 20, 2020",Cleveland Cavaliers,W,106,86,12,32,W 1
"Wed, Jan 22, 2020",Los Angeles Lakers,L,92,100,12,33,L 1
"Fri, Jan 24, 2020",Toronto Raptors,L,112,118,12,34,L 2
"Sun, Jan 26, 2020",Brooklyn Nets,W,110,97,13,34,W 1
"Tue, Jan 28, 2020",Charlotte Hornets,L,92,97,13,35,L 1
"Wed, Jan 29, 2020",Memphis Grizzlies,L,106,127,13,36,L 2
"Sat, Feb 1, 2020",Indiana Pacers,W,92,85,14,36,W 1
"Mon, Feb 3, 2020",Cleveland Cavaliers,W,139,134,15,36,W 2
"Thu, Feb 6, 2020",Orlando Magic,W,105,103,16,36,W 3
"Sat, Feb 8, 2020",Detroit Pistons,W,95,92,17,36,W 4
"Sun, Feb 9, 2020",Atlanta Hawks,L,135,140,17,37,L 1
"Wed, Feb 12, 2020",Washington Wizards,L,96,114,17,38,L 2
"Fri, Feb 21, 2020",Indiana Pacers,L,98,106,17,39,L 3
"Mon, Feb 24, 2020",Houston Rockets,L,112,123,17,40,L 4
"Wed, Feb 26, 2020",Charlotte Hornets,L,101,107,17,41,L 5
"Thu, Feb 27, 2020",Philadelphia 76ers,L,106,115,17,42,L 6
"Sat, Feb 29, 2020",Chicago Bulls,W,125,115,18,42,W 1
"Mon, Mar 2, 2020",Houston Rockets,W,125,123,19,42,W 2
"Wed, Mar 4, 2020",Utah Jazz,L,104,112,19,43,L 1
"Fri, Mar 6, 2020",Oklahoma City Thunder,L,103,126,19,44,L 2
"Sun, Mar 8, 2020",Detroit Pistons,W,96,84,20,44,W 1
"Tue, Mar 10, 2020",Washington Wizards,L,115,122,20,45,L 1
"Wed, Mar 11, 2020",Atlanta Hawks,W,136,131,21,45,W 1
