,GP,W,L,WIN%,PTS,OPPPTS
Atlanta Hawks,67,20,47,0.299,7488,8022
Boston Celtics,72,48,24,0.667,8183,7729
Brooklyn Nets,72,35,37,0.486,8048,8089
Charlotte Hornets,65,23,42,0.354,6687,7126
Chicago Bulls,65,22,43,0.338,6945,7145
Cleveland Cavaliers,65,19,46,0.292,6948,7461
Dallas Mavericks,75,43,32,0.573,8776,8405
Denver Nuggets,73,46,27,0.63,8124,7970
Detroit Pistons,66,20,46,0.303,7078,7313
Golden State Warriors,65,15,50,0.231,6912,7478
Houston Rockets,72,44,28,0.611,8482,8269
Indiana Pacers,73,45,28,0.616,7989,7846
LA Clippers,72,49,23,0.681,8377,7913
Los Angeles Lakers,71,52,19,0.732,8054,7643
Memphis Grizzlies,73,34,39,0.466,8222,8300
Miami Heat,73,44,29,0.603,8179,7964
Milwaukee Bucks,73,56,17,0.767,8663,7927
Minnesota Timberwolves,64,19,45,0.297,7248,7523
New Orleans Pelicans,72,30,42,0.417,8341,8434
New York Knicks,66,21,45,0.318,6983,7409
Oklahoma City Thunder,72,44,28,0.611,7950,7807
Orlando Magic,73,33,40,0.452,7831,7905
Philadelphia 76ers,73,43,30,0.589,8084,7910
Phoenix Suns,73,34,39,0.466,8294,8278
Portland Trail Blazers,74,35,39,0.473,8508,8593
Sacramento Kings,72,31,41,0.431,7927,8074
San Antonio Spurs,71,32,39,0.451,8098,8177
Toronto Raptors,72,53,19,0.736,8118,7669
Utah Jazz,72,44,28,0.611,8013,7835
Washington Wizards,72,25,47,0.347,8238,8574
