date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Thu, Oct 24, 2019",Detroit Pistons,W,117,100,1,0,W 1
"Sat, Oct 26, 2019",Orlando Magic,W,103,99,2,0,W 2
"Mon, Oct 28, 2019",Philadelphia 76ers,L,103,105,2,1,L 1
"Tue, Oct 29, 2019",Miami Heat,L,97,112,2,2,L 2
"Thu, Oct 31, 2019",Miami Heat,L,97,106,2,3,L 3
"Tue, Nov 5, 2019",San Antonio Spurs,W,108,100,3,3,W 1
"Wed, Nov 6, 2019",Chicago Bulls,L,93,113,3,4,L 1
"Fri, Nov 8, 2019",Sacramento Kings,L,109,121,3,5,L 2
"Sun, Nov 10, 2019",Portland Trail Blazers,L,113,124,3,6,L 3
"Tue, Nov 12, 2019",Denver Nuggets,W,125,121,4,6,W 1
"Thu, Nov 14, 2019",Phoenix Suns,L,112,128,4,7,L 1
"Sat, Nov 16, 2019",Los Angeles Clippers,L,101,150,4,8,L 2
"Sun, Nov 17, 2019",Los Angeles Lakers,L,101,122,4,9,L 3
"Wed, Nov 20, 2019",Milwaukee Bucks,L,127,135,4,10,L 4
"Fri, Nov 22, 2019",Detroit Pistons,L,103,128,4,11,L 5
"Sat, Nov 23, 2019",Toronto Raptors,L,116,119,4,12,L 6
"Mon, Nov 25, 2019",Minnesota Timberwolves,L,113,125,4,13,L 7
"Wed, Nov 27, 2019",Milwaukee Bucks,L,102,111,4,14,L 8
"Fri, Nov 29, 2019",Indiana Pacers,L,104,105,4,15,L 9
"Sat, Nov 30, 2019",Houston Rockets,L,111,158,4,16,L 10
"Mon, Dec 2, 2019",Golden State Warriors,W,104,79,5,16,W 1
"Wed, Dec 4, 2019",Brooklyn Nets,L,118,130,5,17,L 1
"Sun, Dec 8, 2019",Charlotte Hornets,W,122,107,6,17,W 1
"Tue, Dec 10, 2019",Miami Heat,L,121,135,6,18,L 1
"Wed, Dec 11, 2019",Chicago Bulls,L,102,136,6,19,L 2
"Fri, Dec 13, 2019",Indiana Pacers,L,100,110,6,20,L 3
"Sun, Dec 15, 2019",Los Angeles Lakers,L,96,101,6,21,L 4
"Tue, Dec 17, 2019",New York Knicks,L,120,143,6,22,L 5
"Thu, Dec 19, 2019",Utah Jazz,L,106,111,6,23,L 6
"Sat, Dec 21, 2019",Brooklyn Nets,L,112,122,6,24,L 7
"Mon, Dec 23, 2019",Cleveland Cavaliers,L,118,121,6,25,L 8
"Fri, Dec 27, 2019",Milwaukee Bucks,L,86,112,6,26,L 9
"Sat, Dec 28, 2019",Chicago Bulls,L,81,116,6,27,L 10
"Mon, Dec 30, 2019",Orlando Magic,W,101,93,7,27,W 1
"Fri, Jan 3, 2020",Boston Celtics,L,106,109,7,28,L 1
"Sat, Jan 4, 2020",Indiana Pacers,W,116,111,8,28,W 1
"Mon, Jan 6, 2020",Denver Nuggets,L,115,123,8,29,L 1
"Wed, Jan 8, 2020",Houston Rockets,L,115,122,8,30,L 2
"Fri, Jan 10, 2020",Washington Wizards,L,101,111,8,31,L 3
"Sun, Jan 12, 2020",Brooklyn Nets,L,86,108,8,32,L 4
"Tue, Jan 14, 2020",Phoenix Suns,W,123,110,9,32,W 1
"Fri, Jan 17, 2020",San Antonio Spurs,W,121,120,10,32,W 2
"Sat, Jan 18, 2020",Detroit Pistons,L,103,136,10,33,L 1
"Mon, Jan 20, 2020",Toronto Raptors,L,117,122,10,34,L 2
"Wed, Jan 22, 2020",Los Angeles Clippers,W,102,95,11,34,W 1
"Fri, Jan 24, 2020",Oklahoma City Thunder,L,111,140,11,35,L 1
"Sun, Jan 26, 2020",Washington Wizards,W,152,133,12,35,W 1
"Tue, Jan 28, 2020",Toronto Raptors,L,114,130,12,36,L 1
"Thu, Jan 30, 2020",Philadelphia 76ers,W,127,117,13,36,W 1
"Sat, Feb 1, 2020",Dallas Mavericks,L,100,123,13,37,L 1
"Mon, Feb 3, 2020",Boston Celtics,L,115,123,13,38,L 2
"Wed, Feb 5, 2020",Minnesota Timberwolves,W,127,120,14,38,W 1
"Fri, Feb 7, 2020",Boston Celtics,L,107,112,14,39,L 1
"Sun, Feb 9, 2020",New York Knicks,W,140,135,15,39,W 1
"Mon, Feb 10, 2020",Orlando Magic,L,126,135,15,40,L 1
"Wed, Feb 12, 2020",Cleveland Cavaliers,L,105,127,15,41,L 2
"Thu, Feb 20, 2020",Miami Heat,W,129,124,16,41,W 1
"Sat, Feb 22, 2020",Dallas Mavericks,W,111,107,17,41,W 2
"Mon, Feb 24, 2020",Philadelphia 76ers,L,112,129,17,42,L 1
"Wed, Feb 26, 2020",Orlando Magic,L,120,130,17,43,L 2
"Fri, Feb 28, 2020",Brooklyn Nets,W,141,118,18,43,W 1
"Sat, Feb 29, 2020",Portland Trail Blazers,W,129,117,19,43,W 2
"Mon, Mar 2, 2020",Memphis Grizzlies,L,88,127,19,44,L 1
"Fri, Mar 6, 2020",Washington Wizards,L,112,118,19,45,L 2
"Sat, Mar 7, 2020",Memphis Grizzlies,L,101,118,19,46,L 3
"Mon, Mar 9, 2020",Charlotte Hornets,W,143,138,20,46,W 1
"Wed, Mar 11, 2020",New York Knicks,L,131,136,20,47,L 1
