date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Orlando Magic,L,85,94,0,1,L 1
"Sat, Oct 26, 2019",Indiana Pacers,W,110,99,1,1,W 1
"Mon, Oct 28, 2019",Milwaukee Bucks,L,112,129,1,2,L 1
"Wed, Oct 30, 2019",Chicago Bulls,W,117,111,2,2,W 1
"Fri, Nov 1, 2019",Indiana Pacers,L,95,102,2,3,L 1
"Sun, Nov 3, 2019",Dallas Mavericks,L,111,131,2,4,L 2
"Tue, Nov 5, 2019",Boston Celtics,L,113,119,2,5,L 3
"Fri, Nov 8, 2019",Washington Wizards,W,113,100,3,5,W 1
"Sun, Nov 10, 2019",New York Knicks,W,108,87,4,5,W 2
"Tue, Nov 12, 2019",Philadelphia 76ers,L,97,98,4,6,L 1
"Thu, Nov 14, 2019",Miami Heat,L,97,108,4,7,L 2
"Sun, Nov 17, 2019",Philadelphia 76ers,L,95,114,4,8,L 3
"Mon, Nov 18, 2019",New York Knicks,L,105,123,4,9,L 4
"Wed, Nov 20, 2019",Miami Heat,L,100,124,4,10,L 5
"Fri, Nov 22, 2019",Dallas Mavericks,L,101,143,4,11,L 6
"Sat, Nov 23, 2019",Portland Trail Blazers,W,110,104,5,11,W 1
"Mon, Nov 25, 2019",Brooklyn Nets,L,106,108,5,12,L 1
"Wed, Nov 27, 2019",Orlando Magic,L,104,116,5,13,L 2
"Fri, Nov 29, 2019",Milwaukee Bucks,L,110,119,5,14,L 3
"Tue, Dec 3, 2019",Detroit Pistons,L,94,127,5,15,L 4
"Fri, Dec 6, 2019",Orlando Magic,L,87,93,5,16,L 5
"Sat, Dec 7, 2019",Philadelphia 76ers,L,94,141,5,17,L 6
"Mon, Dec 9, 2019",Boston Celtics,L,88,110,5,18,L 7
"Wed, Dec 11, 2019",Houston Rockets,L,110,116,5,19,L 8
"Thu, Dec 12, 2019",San Antonio Spurs,W,117,109,6,19,W 1
"Sat, Dec 14, 2019",Milwaukee Bucks,L,108,125,6,20,L 1
"Mon, Dec 16, 2019",Toronto Raptors,L,113,133,6,21,L 2
"Wed, Dec 18, 2019",Charlotte Hornets,W,100,98,7,21,W 1
"Fri, Dec 20, 2019",Memphis Grizzlies,W,114,107,8,21,W 2
"Mon, Dec 23, 2019",Atlanta Hawks,W,121,118,9,21,W 3
"Fri, Dec 27, 2019",Boston Celtics,L,117,129,9,22,L 1
"Sat, Dec 28, 2019",Minnesota Timberwolves,W,94,88,10,22,W 1
"Tue, Dec 31, 2019",Toronto Raptors,L,97,117,10,23,L 1
"Thu, Jan 2, 2020",Charlotte Hornets,L,106,109,10,24,L 2
"Sat, Jan 4, 2020",Oklahoma City Thunder,L,106,121,10,25,L 3
"Sun, Jan 5, 2020",Minnesota Timberwolves,L,103,118,10,26,L 4
"Tue, Jan 7, 2020",Detroit Pistons,L,113,115,10,27,L 5
"Thu, Jan 9, 2020",Detroit Pistons,W,115,112,11,27,W 1
"Sat, Jan 11, 2020",Denver Nuggets,W,111,103,12,27,W 2
"Mon, Jan 13, 2020",Los Angeles Lakers,L,99,128,12,28,L 1
"Tue, Jan 14, 2020",Los Angeles Clippers,L,103,128,12,29,L 2
"Fri, Jan 17, 2020",Memphis Grizzlies,L,109,113,12,30,L 3
"Sat, Jan 18, 2020",Chicago Bulls,L,116,118,12,31,L 4
"Mon, Jan 20, 2020",New York Knicks,L,86,106,12,32,L 5
"Thu, Jan 23, 2020",Washington Wizards,L,112,124,12,33,L 6
"Sat, Jan 25, 2020",Chicago Bulls,L,106,118,12,34,L 7
"Mon, Jan 27, 2020",Detroit Pistons,W,115,100,13,34,W 1
"Tue, Jan 28, 2020",New Orleans Pelicans,L,111,125,13,35,L 1
"Thu, Jan 30, 2020",Toronto Raptors,L,109,115,13,36,L 2
"Sat, Feb 1, 2020",Golden State Warriors,L,112,131,13,37,L 3
"Mon, Feb 3, 2020",New York Knicks,L,134,139,13,38,L 4
"Wed, Feb 5, 2020",Oklahoma City Thunder,L,103,109,13,39,L 5
"Sun, Feb 9, 2020",Los Angeles Clippers,L,92,133,13,40,L 6
"Wed, Feb 12, 2020",Atlanta Hawks,W,127,105,14,40,W 1
"Fri, Feb 21, 2020",Washington Wizards,W,113,108,15,40,W 2
"Sat, Feb 22, 2020",Miami Heat,L,105,124,15,41,L 1
"Mon, Feb 24, 2020",Miami Heat,W,125,119,16,41,W 1
"Wed, Feb 26, 2020",Philadelphia 76ers,W,108,94,17,41,W 2
"Fri, Feb 28, 2020",New Orleans Pelicans,L,104,116,17,42,L 1
"Sat, Feb 29, 2020",Indiana Pacers,L,104,113,17,43,L 2
"Mon, Mar 2, 2020",Utah Jazz,L,113,126,17,44,L 3
"Wed, Mar 4, 2020",Boston Celtics,L,106,112,17,45,L 4
"Sat, Mar 7, 2020",Denver Nuggets,W,104,102,18,45,W 1
"Sun, Mar 8, 2020",San Antonio Spurs,W,132,129,19,45,W 2
"Tue, Mar 10, 2020",Chicago Bulls,L,103,108,19,46,L 1
