date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Tue, Oct 22, 2019",Los Angeles Lakers,W,112,102,1,0,W 1
"Thu, Oct 24, 2019",Golden State Warriors,W,141,122,2,0,W 2
"Sat, Oct 26, 2019",Phoenix Suns,L,122,130,2,1,L 1
"Mon, Oct 28, 2019",Charlotte Hornets,W,111,96,3,1,W 1
"Wed, Oct 30, 2019",Utah Jazz,L,96,110,3,2,L 1
"Thu, Oct 31, 2019",San Antonio Spurs,W,103,97,4,2,W 1
"Sun, Nov 3, 2019",Utah Jazz,W,105,94,5,2,W 2
"Wed, Nov 6, 2019",Milwaukee Bucks,L,124,129,5,3,L 1
"Thu, Nov 7, 2019",Portland Trail Blazers,W,107,101,6,3,W 1
"Mon, Nov 11, 2019",Toronto Raptors,W,98,88,7,3,W 2
"Wed, Nov 13, 2019",Houston Rockets,L,93,102,7,4,L 1
"Thu, Nov 14, 2019",New Orleans Pelicans,L,127,132,7,5,L 2
"Sat, Nov 16, 2019",Atlanta Hawks,W,150,101,8,5,W 1
"Mon, Nov 18, 2019",Oklahoma City Thunder,W,90,88,9,5,W 2
"Wed, Nov 20, 2019",Boston Celtics,W,107,104,10,5,W 3
"Fri, Nov 22, 2019",Houston Rockets,W,122,119,11,5,W 4
"Sun, Nov 24, 2019",New Orleans Pelicans,W,134,109,12,5,W 5
"Tue, Nov 26, 2019",Dallas Mavericks,W,114,99,13,5,W 6
"Wed, Nov 27, 2019",Memphis Grizzlies,W,121,119,14,5,W 7
"Fri, Nov 29, 2019",San Antonio Spurs,L,97,107,14,6,L 1
"Sun, Dec 1, 2019",Washington Wizards,W,150,125,15,6,W 1
"Tue, Dec 3, 2019",Portland Trail Blazers,W,117,97,16,6,W 2
"Fri, Dec 6, 2019",Milwaukee Bucks,L,91,119,16,7,L 1
"Sun, Dec 8, 2019",Washington Wizards,W,135,119,17,7,W 1
"Mon, Dec 9, 2019",Indiana Pacers,W,110,99,18,7,W 2
"Wed, Dec 11, 2019",Toronto Raptors,W,112,92,19,7,W 3
"Fri, Dec 13, 2019",Minnesota Timberwolves,W,124,117,20,7,W 4
"Sat, Dec 14, 2019",Chicago Bulls,L,106,109,20,8,L 1
"Tue, Dec 17, 2019",Phoenix Suns,W,120,99,21,8,W 1
"Thu, Dec 19, 2019",Houston Rockets,L,117,122,21,9,L 1
"Sat, Dec 21, 2019",San Antonio Spurs,W,134,109,22,9,W 1
"Sun, Dec 22, 2019",Oklahoma City Thunder,L,112,118,22,10,L 1
"Wed, Dec 25, 2019",Los Angeles Lakers,W,111,106,23,10,W 1
"Sat, Dec 28, 2019",Utah Jazz,L,107,120,23,11,L 1
"Tue, Dec 31, 2019",Sacramento Kings,W,105,87,24,11,W 1
"Thu, Jan 2, 2020",Detroit Pistons,W,126,112,25,11,W 2
"Sat, Jan 4, 2020",Memphis Grizzlies,L,114,140,25,12,L 1
"Sun, Jan 5, 2020",New York Knicks,W,135,132,26,12,W 1
"Fri, Jan 10, 2020",Golden State Warriors,W,109,100,27,12,W 2
"Sun, Jan 12, 2020",Denver Nuggets,L,104,114,27,13,L 1
"Tue, Jan 14, 2020",Cleveland Cavaliers,W,128,103,28,13,W 1
"Thu, Jan 16, 2020",Orlando Magic,W,122,95,29,13,W 2
"Sat, Jan 18, 2020",New Orleans Pelicans,W,133,130,30,13,W 3
"Tue, Jan 21, 2020",Dallas Mavericks,W,110,107,31,13,W 4
"Wed, Jan 22, 2020",Atlanta Hawks,L,95,102,31,14,L 1
"Fri, Jan 24, 2020",Miami Heat,W,122,117,32,14,W 1
"Sun, Jan 26, 2020",Orlando Magic,W,112,97,33,14,W 2
"Thu, Jan 30, 2020",Sacramento Kings,L,103,124,33,15,L 1
"Sat, Feb 1, 2020",Minnesota Timberwolves,W,118,106,34,15,W 1
"Mon, Feb 3, 2020",San Antonio Spurs,W,108,105,35,15,W 2
"Wed, Feb 5, 2020",Miami Heat,W,128,111,36,15,W 3
"Sat, Feb 8, 2020",Minnesota Timberwolves,L,115,142,36,16,L 1
"Sun, Feb 9, 2020",Cleveland Cavaliers,W,133,92,37,16,W 1
"Tue, Feb 11, 2020",Philadelphia 76ers,L,103,110,37,17,L 1
"Thu, Feb 13, 2020",Boston Celtics,L,133,141,37,18,L 2
"Sat, Feb 22, 2020",Sacramento Kings,L,103,112,37,19,L 3
"Mon, Feb 24, 2020",Memphis Grizzlies,W,124,97,38,19,W 1
"Wed, Feb 26, 2020",Phoenix Suns,W,102,92,39,19,W 2
"Fri, Feb 28, 2020",Denver Nuggets,W,132,103,40,19,W 3
"Sun, Mar 1, 2020",Philadelphia 76ers,W,136,130,41,19,W 4
"Tue, Mar 3, 2020",Oklahoma City Thunder,W,109,94,42,19,W 5
"Thu, Mar 5, 2020",Houston Rockets,W,120,105,43,19,W 6
"Sun, Mar 8, 2020",Los Angeles Lakers,L,103,112,43,20,L 1
"Tue, Mar 10, 2020",Golden State Warriors,W,131,107,44,20,W 1
"Thu, Jul 30, 2020",Los Angeles Lakers,L,101,103,44,21,L 1
"Sat, Aug 1, 2020",New Orleans Pelicans,W,126,103,45,21,W 1
"Tue, Aug 4, 2020",Phoenix Suns,L,115,117,45,22,L 1
"Thu, Aug 6, 2020",Dallas Mavericks,W,126,111,46,22,W 1
"Sat, Aug 8, 2020",Portland Trail Blazers,W,122,117,47,22,W 2
"Sun, Aug 9, 2020",Brooklyn Nets,L,120,129,47,23,L 1
"Wed, Aug 12, 2020",Denver Nuggets,W,124,111,48,23,W 1
"Fri, Aug 14, 2020",Oklahoma City Thunder,W,107,103,49,23,W 2
"Mon, Aug 17, 2020",Dallas Mavericks,W,118,110,1,0,W 1
"Wed, Aug 19, 2020",Dallas Mavericks,L,114,127,1,1,L 1
"Fri, Aug 21, 2020",Dallas Mavericks,W,130,122,2,1,W 1
"Sun, Aug 23, 2020",Dallas Mavericks,L,133,135,2,2,L 1
"Tue, Aug 25, 2020",Dallas Mavericks,W,154,111,3,2,W 1
"Sun, Aug 30, 2020",Dallas Mavericks,W,111,97,4,2,W 2
"Thu, Sep 3, 2020",Denver Nuggets,W,120,97,5,2,W 3
"Sat, Sep 5, 2020",Denver Nuggets,L,101,110,5,3,L 1
"Mon, Sep 7, 2020",Denver Nuggets,W,113,107,6,3,W 1
"Wed, Sep 9, 2020",Denver Nuggets,W,96,85,7,3,W 2
"Fri, Sep 11, 2020",Denver Nuggets,L,105,111,7,4,L 1
"Sun, Sep 13, 2020",Denver Nuggets,L,98,111,7,5,L 2
"Tue, Sep 15, 2020",Denver Nuggets,L,89,104,7,6,L 3
