date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Miami Heat,L,101,120,0,1,L 1
"Fri, Oct 25, 2019",Chicago Bulls,L,102,110,0,2,L 2
"Sun, Oct 27, 2019",Brooklyn Nets,W,134,133,1,2,W 1
"Tue, Oct 29, 2019",Los Angeles Lakers,L,91,120,1,3,L 1
"Sat, Nov 2, 2019",Phoenix Suns,L,105,114,1,4,L 2
"Mon, Nov 4, 2019",Houston Rockets,L,100,107,1,5,L 3
"Wed, Nov 6, 2019",Minnesota Timberwolves,W,137,121,2,5,W 1
"Fri, Nov 8, 2019",Orlando Magic,L,86,118,2,6,L 1
"Sat, Nov 9, 2019",Dallas Mavericks,L,122,138,2,7,L 2
"Mon, Nov 11, 2019",San Antonio Spurs,W,113,109,3,7,W 1
"Wed, Nov 13, 2019",Charlotte Hornets,W,119,117,4,7,W 2
"Fri, Nov 15, 2019",Utah Jazz,W,107,106,5,7,W 3
"Sun, Nov 17, 2019",Denver Nuggets,L,114,131,5,8,L 1
"Tue, Nov 19, 2019",Golden State Warriors,L,95,114,5,9,L 2
"Sat, Nov 23, 2019",Los Angeles Lakers,L,108,109,5,10,L 3
"Mon, Nov 25, 2019",Indiana Pacers,L,114,126,5,11,L 4
"Wed, Nov 27, 2019",Los Angeles Clippers,L,119,121,5,12,L 5
"Fri, Nov 29, 2019",Utah Jazz,L,94,103,5,13,L 6
"Sun, Dec 1, 2019",Minnesota Timberwolves,W,115,107,6,13,W 1
"Mon, Dec 2, 2019",Indiana Pacers,L,104,117,6,14,L 1
"Wed, Dec 4, 2019",Chicago Bulls,L,99,106,6,15,L 2
"Sat, Dec 7, 2019",Utah Jazz,L,112,126,6,16,L 3
"Mon, Dec 9, 2019",Golden State Warriors,W,110,102,7,16,W 1
"Wed, Dec 11, 2019",Phoenix Suns,W,115,108,8,16,W 2
"Fri, Dec 13, 2019",Milwaukee Bucks,L,114,127,8,17,L 1
"Sat, Dec 14, 2019",Washington Wizards,W,128,111,9,17,W 1
"Mon, Dec 16, 2019",Miami Heat,W,118,111,10,17,W 2
"Wed, Dec 18, 2019",Oklahoma City Thunder,L,122,126,10,18,L 1
"Fri, Dec 20, 2019",Cleveland Cavaliers,L,107,114,10,19,L 2
"Sat, Dec 21, 2019",Sacramento Kings,W,119,115,11,19,W 1
"Mon, Dec 23, 2019",San Antonio Spurs,L,115,145,11,20,L 1
"Thu, Dec 26, 2019",Oklahoma City Thunder,W,110,97,12,20,W 1
"Sat, Dec 28, 2019",Denver Nuggets,L,110,119,12,21,L 1
"Sun, Dec 29, 2019",Charlotte Hornets,W,117,104,13,21,W 1
"Thu, Jan 2, 2020",Sacramento Kings,L,123,128,13,22,L 1
"Sat, Jan 4, 2020",Los Angeles Clippers,W,140,114,14,22,W 1
"Sun, Jan 5, 2020",Phoenix Suns,W,121,114,15,22,W 2
"Tue, Jan 7, 2020",Minnesota Timberwolves,W,119,112,16,22,W 3
"Fri, Jan 10, 2020",San Antonio Spurs,W,134,121,17,22,W 4
"Sun, Jan 12, 2020",Golden State Warriors,W,122,102,18,22,W 5
"Tue, Jan 14, 2020",Houston Rockets,W,121,110,19,22,W 6
"Fri, Jan 17, 2020",Cleveland Cavaliers,W,113,109,20,22,W 7
"Mon, Jan 20, 2020",New Orleans Pelicans,L,116,126,20,23,L 1
"Wed, Jan 22, 2020",Boston Celtics,L,95,119,20,24,L 2
"Fri, Jan 24, 2020",Detroit Pistons,W,125,112,21,24,W 1
"Sun, Jan 26, 2020",Phoenix Suns,W,114,109,22,24,W 2
"Tue, Jan 28, 2020",Denver Nuggets,W,104,96,23,24,W 3
"Wed, Jan 29, 2020",New York Knicks,W,127,106,24,24,W 4
"Fri, Jan 31, 2020",New Orleans Pelicans,L,111,139,24,25,L 1
"Mon, Feb 3, 2020",Detroit Pistons,W,96,82,25,25,W 1
"Wed, Feb 5, 2020",Dallas Mavericks,W,121,107,26,25,W 2
"Fri, Feb 7, 2020",Philadelphia 76ers,L,107,119,26,26,L 1
"Sun, Feb 9, 2020",Washington Wizards,W,106,99,27,26,W 1
"Wed, Feb 12, 2020",Portland Trail Blazers,W,111,104,28,26,W 2
"Thu, Feb 20, 2020",Sacramento Kings,L,125,129,28,27,L 1
"Fri, Feb 21, 2020",Los Angeles Lakers,L,105,117,28,28,L 2
"Mon, Feb 24, 2020",Los Angeles Clippers,L,97,124,28,29,L 3
"Wed, Feb 26, 2020",Houston Rockets,L,112,140,28,30,L 4
"Fri, Feb 28, 2020",Sacramento Kings,L,101,104,28,31,L 5
"Sat, Feb 29, 2020",Los Angeles Lakers,W,105,88,29,31,W 1
"Mon, Mar 2, 2020",Atlanta Hawks,W,127,88,30,31,W 2
"Wed, Mar 4, 2020",Brooklyn Nets,W,118,79,31,31,W 3
"Fri, Mar 6, 2020",Dallas Mavericks,L,96,121,31,32,L 1
"Sat, Mar 7, 2020",Atlanta Hawks,W,118,101,32,32,W 1
"Tue, Mar 10, 2020",Orlando Magic,L,115,120,32,33,L 1
"Fri, Jul 31, 2020",Portland Trail Blazers,L,135,140,32,34,L 2
"Sun, Aug 2, 2020",San Antonio Spurs,L,106,108,32,35,L 3
"Mon, Aug 3, 2020",New Orleans Pelicans,L,99,109,32,36,L 4
"Wed, Aug 5, 2020",Utah Jazz,L,115,124,32,37,L 5
