date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Thu, Oct 24, 2019",Houston Rockets,W,117,111,1,0,W 1
"Sat, Oct 26, 2019",Miami Heat,L,126,131,1,1,L 1
"Mon, Oct 28, 2019",Cleveland Cavaliers,W,129,112,2,1,W 1
"Wed, Oct 30, 2019",Boston Celtics,L,105,116,2,2,L 1
"Fri, Nov 1, 2019",Orlando Magic,W,123,91,3,2,W 1
"Sat, Nov 2, 2019",Toronto Raptors,W,115,105,4,2,W 2
"Mon, Nov 4, 2019",Minnesota Timberwolves,W,134,106,5,2,W 3
"Wed, Nov 6, 2019",Los Angeles Clippers,W,129,124,6,2,W 4
"Fri, Nov 8, 2019",Utah Jazz,L,100,103,6,3,L 1
"Sun, Nov 10, 2019",Oklahoma City Thunder,W,121,119,7,3,W 1
"Thu, Nov 14, 2019",Chicago Bulls,W,124,115,8,3,W 2
"Sat, Nov 16, 2019",Indiana Pacers,W,102,83,9,3,W 3
"Mon, Nov 18, 2019",Chicago Bulls,W,115,101,10,3,W 4
"Wed, Nov 20, 2019",Atlanta Hawks,W,135,127,11,3,W 5
"Thu, Nov 21, 2019",Portland Trail Blazers,W,137,129,12,3,W 6
"Sat, Nov 23, 2019",Detroit Pistons,W,104,90,13,3,W 7
"Mon, Nov 25, 2019",Utah Jazz,W,122,118,14,3,W 8
"Wed, Nov 27, 2019",Atlanta Hawks,W,111,102,15,3,W 9
"Fri, Nov 29, 2019",Cleveland Cavaliers,W,119,110,16,3,W 10
"Sat, Nov 30, 2019",Charlotte Hornets,W,137,96,17,3,W 11
"Mon, Dec 2, 2019",New York Knicks,W,132,88,18,3,W 12
"Wed, Dec 4, 2019",Detroit Pistons,W,127,103,19,3,W 13
"Fri, Dec 6, 2019",Los Angeles Clippers,W,119,91,20,3,W 14
"Mon, Dec 9, 2019",Orlando Magic,W,110,101,21,3,W 15
"Wed, Dec 11, 2019",New Orleans Pelicans,W,127,112,22,3,W 16
"Fri, Dec 13, 2019",Memphis Grizzlies,W,127,114,23,3,W 17
"Sat, Dec 14, 2019",Cleveland Cavaliers,W,125,108,24,3,W 18
"Mon, Dec 16, 2019",Dallas Mavericks,L,116,120,24,4,L 1
"Thu, Dec 19, 2019",Los Angeles Lakers,W,111,104,25,4,W 1
"Sat, Dec 21, 2019",New York Knicks,W,123,102,26,4,W 2
"Sun, Dec 22, 2019",Indiana Pacers,W,117,89,27,4,W 3
"Wed, Dec 25, 2019",Philadelphia 76ers,L,109,121,27,5,L 1
"Fri, Dec 27, 2019",Atlanta Hawks,W,112,86,28,5,W 1
