date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Utah Jazz,L,95,100,0,1,L 1
"Fri, Oct 25, 2019",Washington Wizards,L,85,97,0,2,L 2
"Sun, Oct 27, 2019",Golden State Warriors,W,120,92,1,2,W 1
"Mon, Oct 28, 2019",Houston Rockets,L,112,116,1,3,L 1
"Wed, Oct 30, 2019",Portland Trail Blazers,L,99,102,1,4,L 2
"Sat, Nov 2, 2019",New Orleans Pelicans,W,115,104,2,4,W 1
"Tue, Nov 5, 2019",Orlando Magic,W,102,94,3,4,W 2
"Thu, Nov 7, 2019",San Antonio Spurs,L,112,121,3,5,L 1
"Sat, Nov 9, 2019",Golden State Warriors,W,114,108,4,5,W 1
"Sun, Nov 10, 2019",Milwaukee Bucks,L,119,121,4,6,L 1
"Tue, Nov 12, 2019",Indiana Pacers,L,85,111,4,7,L 2
"Fri, Nov 15, 2019",Philadelphia 76ers,W,127,119,5,7,W 1
"Mon, Nov 18, 2019",Los Angeles Clippers,L,88,90,5,8,L 1
"Tue, Nov 19, 2019",Los Angeles Lakers,L,107,112,5,9,L 2
"Fri, Nov 22, 2019",Los Angeles Lakers,L,127,130,5,10,L 3
"Mon, Nov 25, 2019",Golden State Warriors,W,100,97,6,10,W 1
"Wed, Nov 27, 2019",Portland Trail Blazers,L,119,136,6,11,L 1
"Fri, Nov 29, 2019",New Orleans Pelicans,W,109,104,7,11,W 1
"Sun, Dec 1, 2019",New Orleans Pelicans,W,107,104,8,11,W 2
"Wed, Dec 4, 2019",Indiana Pacers,L,100,107,8,12,L 1
"Fri, Dec 6, 2019",Minnesota Timberwolves,W,139,127,9,12,W 1
"Sun, Dec 8, 2019",Portland Trail Blazers,W,108,96,10,12,W 2
"Mon, Dec 9, 2019",Utah Jazz,W,104,90,11,12,W 3
"Wed, Dec 11, 2019",Sacramento Kings,L,93,94,11,13,L 1
"Sat, Dec 14, 2019",Denver Nuggets,L,102,110,11,14,L 2
"Mon, Dec 16, 2019",Chicago Bulls,W,109,106,12,14,W 1
"Wed, Dec 18, 2019",Memphis Grizzlies,W,126,122,13,14,W 2
"Fri, Dec 20, 2019",Phoenix Suns,W,126,108,14,14,W 3
"Sun, Dec 22, 2019",Los Angeles Clippers,W,118,112,15,14,W 4
"Thu, Dec 26, 2019",Memphis Grizzlies,L,97,110,15,15,L 1
"Fri, Dec 27, 2019",Charlotte Hornets,W,104,102,16,15,W 1
"Sun, Dec 29, 2019",Toronto Raptors,W,98,97,17,15,W 2
"Tue, Dec 31, 2019",Dallas Mavericks,W,106,101,18,15,W 3
"Thu, Jan 2, 2020",San Antonio Spurs,W,109,103,19,15,W 4
"Sat, Jan 4, 2020",Cleveland Cavaliers,W,121,106,20,15,W 5
"Mon, Jan 6, 2020",Philadelphia 76ers,L,113,120,20,16,L 1
"Tue, Jan 7, 2020",Brooklyn Nets,W,111,103,21,16,W 1
"Thu, Jan 9, 2020",Houston Rockets,W,113,92,22,16,W 2
"Sat, Jan 11, 2020",Los Angeles Lakers,L,110,125,22,17,L 1
"Mon, Jan 13, 2020",Minnesota Timberwolves,W,117,104,23,17,W 1
"Wed, Jan 15, 2020",Toronto Raptors,L,121,130,23,18,L 1
"Fri, Jan 17, 2020",Miami Heat,L,108,115,23,19,L 2
"Sat, Jan 18, 2020",Portland Trail Blazers,W,119,106,24,19,W 1
"Mon, Jan 20, 2020",Houston Rockets,W,112,107,25,19,W 2
"Wed, Jan 22, 2020",Orlando Magic,W,120,114,26,19,W 3
"Fri, Jan 24, 2020",Atlanta Hawks,W,140,111,27,19,W 4
"Sat, Jan 25, 2020",Minnesota Timberwolves,W,113,104,28,19,W 5
"Mon, Jan 27, 2020",Dallas Mavericks,L,97,107,28,20,L 1
"Wed, Jan 29, 2020",Sacramento Kings,W,120,100,29,20,W 1
"Fri, Jan 31, 2020",Phoenix Suns,W,111,107,30,20,W 2
"Wed, Feb 5, 2020",Cleveland Cavaliers,W,109,103,31,20,W 3
"Fri, Feb 7, 2020",Detroit Pistons,W,108,101,32,20,W 4
"Sun, Feb 9, 2020",Boston Celtics,L,111,112,32,21,L 1
"Tue, Feb 11, 2020",San Antonio Spurs,L,106,114,32,22,L 2
"Thu, Feb 13, 2020",New Orleans Pelicans,W,123,118,33,22,W 1
"Fri, Feb 21, 2020",Denver Nuggets,W,113,101,34,22,W 2
"Sun, Feb 23, 2020",San Antonio Spurs,W,131,103,35,22,W 3
"Tue, Feb 25, 2020",Chicago Bulls,W,124,122,36,22,W 4
"Thu, Feb 27, 2020",Sacramento Kings,W,112,108,37,22,W 5
"Fri, Feb 28, 2020",Milwaukee Bucks,L,86,133,37,23,L 1
"Tue, Mar 3, 2020",Los Angeles Clippers,L,94,109,37,24,L 2
"Wed, Mar 4, 2020",Detroit Pistons,W,114,107,38,24,W 1
"Fri, Mar 6, 2020",New York Knicks,W,126,103,39,24,W 2
"Sun, Mar 8, 2020",Boston Celtics,W,105,104,40,24,W 3
"Sat, Aug 1, 2020",Utah Jazz,W,110,94,41,24,W 4
"Mon, Aug 3, 2020",Denver Nuggets,L,113,121,41,25,L 1
"Wed, Aug 5, 2020",Los Angeles Lakers,W,105,86,42,25,W 1
"Fri, Aug 7, 2020",Memphis Grizzlies,L,92,121,42,26,L 1
"Sun, Aug 9, 2020",Washington Wizards,W,121,103,43,26,W 1
"Mon, Aug 10, 2020",Phoenix Suns,L,101,128,43,27,L 1
"Wed, Aug 12, 2020",Miami Heat,W,116,115,44,27,W 1
"Fri, Aug 14, 2020",Los Angeles Clippers,L,103,107,44,28,L 1
"Tue, Aug 18, 2020",Houston Rockets,L,108,123,0,1,L 1
"Thu, Aug 20, 2020",Houston Rockets,L,98,111,0,2,L 2
"Sat, Aug 22, 2020",Houston Rockets,W,119,107,1,2,W 1
"Mon, Aug 24, 2020",Houston Rockets,W,117,114,2,2,W 2
"Sat, Aug 29, 2020",Houston Rockets,L,80,114,2,3,L 1
"Mon, Aug 31, 2020",Houston Rockets,W,104,100,3,3,W 1
"Wed, Sep 2, 2020",Houston Rockets,L,102,104,3,4,L 1
