date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Cleveland Cavaliers,W,94,85,1,0,W 1
"Sat, Oct 26, 2019",Atlanta Hawks,L,99,103,1,1,L 1
"Mon, Oct 28, 2019",Toronto Raptors,L,95,104,1,2,L 2
"Wed, Oct 30, 2019",New York Knicks,W,95,83,2,2,W 1
"Fri, Nov 1, 2019",Milwaukee Bucks,L,91,123,2,3,L 1
"Sat, Nov 2, 2019",Denver Nuggets,L,87,91,2,4,L 2
"Tue, Nov 5, 2019",Oklahoma City Thunder,L,94,102,2,5,L 3
"Wed, Nov 6, 2019",Dallas Mavericks,L,106,107,2,6,L 4
"Fri, Nov 8, 2019",Memphis Grizzlies,W,118,86,3,6,W 1
"Sun, Nov 10, 2019",Indiana Pacers,L,102,109,3,7,L 1
"Wed, Nov 13, 2019",Philadelphia 76ers,W,112,97,4,7,W 1
"Fri, Nov 15, 2019",San Antonio Spurs,W,111,109,5,7,W 2
"Sun, Nov 17, 2019",Washington Wizards,W,125,121,6,7,W 3
"Wed, Nov 20, 2019",Toronto Raptors,L,97,113,6,8,L 1
"Sat, Nov 23, 2019",Indiana Pacers,L,106,111,6,9,L 2
"Mon, Nov 25, 2019",Detroit Pistons,L,88,103,6,10,L 3
"Wed, Nov 27, 2019",Cleveland Cavaliers,W,116,104,7,10,W 1
"Fri, Nov 29, 2019",Toronto Raptors,L,83,90,7,11,L 1
"Sun, Dec 1, 2019",Golden State Warriors,W,100,96,8,11,W 1
"Tue, Dec 3, 2019",Washington Wizards,W,127,120,9,11,W 2
"Wed, Dec 4, 2019",Phoenix Suns,W,128,114,10,11,W 3
"Fri, Dec 6, 2019",Cleveland Cavaliers,W,93,87,11,11,W 4
"Mon, Dec 9, 2019",Milwaukee Bucks,L,101,110,11,12,L 1
"Wed, Dec 11, 2019",Los Angeles Lakers,L,87,96,11,13,L 2
"Fri, Dec 13, 2019",Houston Rockets,L,107,130,11,14,L 3
"Sun, Dec 15, 2019",New Orleans Pelicans,W,130,119,12,14,W 1
"Tue, Dec 17, 2019",Utah Jazz,L,102,109,12,15,L 1
"Wed, Dec 18, 2019",Denver Nuggets,L,104,113,12,16,L 2
"Fri, Dec 20, 2019",Portland Trail Blazers,L,103,118,12,17,L 3
"Mon, Dec 23, 2019",Chicago Bulls,W,103,95,13,17,W 1
"Fri, Dec 27, 2019",Philadelphia 76ers,W,98,97,14,17,W 2
"Sat, Dec 28, 2019",Milwaukee Bucks,L,100,111,14,18,L 1
"Mon, Dec 30, 2019",Atlanta Hawks,L,93,101,14,19,L 2
"Wed, Jan 1, 2020",Washington Wizards,W,122,101,15,19,W 1
"Fri, Jan 3, 2020",Miami Heat,W,105,85,16,19,W 2
"Sat, Jan 4, 2020",Utah Jazz,L,96,109,16,20,L 1
"Mon, Jan 6, 2020",Brooklyn Nets,W,101,89,17,20,W 1
"Wed, Jan 8, 2020",Washington Wizards,W,123,89,18,20,W 2
"Fri, Jan 10, 2020",Phoenix Suns,L,94,98,18,21,L 1
"Mon, Jan 13, 2020",Sacramento Kings,W,114,112,19,21,W 1
"Wed, Jan 15, 2020",Los Angeles Lakers,W,119,118,20,21,W 2
"Thu, Jan 16, 2020",Los Angeles Clippers,L,95,122,20,22,L 1
"Sat, Jan 18, 2020",Golden State Warriors,L,95,109,20,23,L 2
"Mon, Jan 20, 2020",Charlotte Hornets,W,106,83,21,23,W 1
"Wed, Jan 22, 2020",Oklahoma City Thunder,L,114,120,21,24,L 1
"Fri, Jan 24, 2020",Boston Celtics,L,98,109,21,25,L 2
"Sun, Jan 26, 2020",Los Angeles Clippers,L,97,112,21,26,L 3
"Mon, Jan 27, 2020",Miami Heat,L,92,113,21,27,L 4
"Sat, Feb 1, 2020",Miami Heat,L,89,102,21,28,L 5
