date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Sacramento Kings,W,124,95,1,0,W 1
"Fri, Oct 25, 2019",Denver Nuggets,L,107,108,1,1,L 1
"Sat, Oct 26, 2019",Los Angeles Clippers,W,130,122,2,1,W 1
"Mon, Oct 28, 2019",Utah Jazz,L,95,96,2,2,L 1
"Wed, Oct 30, 2019",Golden State Warriors,W,121,110,3,2,W 1
"Sat, Nov 2, 2019",Memphis Grizzlies,W,114,105,4,2,W 2
"Mon, Nov 4, 2019",Philadelphia 76ers,W,114,109,5,2,W 3
"Thu, Nov 7, 2019",Miami Heat,L,108,124,5,3,L 1
"Sun, Nov 10, 2019",Brooklyn Nets,W,138,112,6,3,W 1
"Tue, Nov 12, 2019",Los Angeles Lakers,L,115,123,6,4,L 1
"Thu, Nov 14, 2019",Atlanta Hawks,W,128,112,7,4,W 1
"Mon, Nov 18, 2019",Boston Celtics,L,85,99,7,5,L 1
"Tue, Nov 19, 2019",Sacramento Kings,L,116,120,7,6,L 2
"Thu, Nov 21, 2019",New Orleans Pelicans,L,121,124,7,7,L 3
"Sat, Nov 23, 2019",Minnesota Timberwolves,W,100,98,8,7,W 1
"Sun, Nov 24, 2019",Denver Nuggets,L,104,116,8,8,L 1
"Wed, Nov 27, 2019",Washington Wizards,L,132,140,8,9,L 2
"Fri, Nov 29, 2019",Dallas Mavericks,L,113,120,8,10,L 3
"Mon, Dec 2, 2019",Charlotte Hornets,W,109,104,9,10,W 1
"Wed, Dec 4, 2019",Orlando Magic,L,114,128,9,11,L 1
"Thu, Dec 5, 2019",New Orleans Pelicans,W,139,132,10,11,W 1
"Sat, Dec 7, 2019",Houston Rockets,L,109,115,10,12,L 1
"Mon, Dec 9, 2019",Minnesota Timberwolves,W,125,109,11,12,W 1
"Wed, Dec 11, 2019",Memphis Grizzlies,L,108,115,11,13,L 1
"Sat, Dec 14, 2019",San Antonio Spurs,L,119,121,11,14,L 2
"Mon, Dec 16, 2019",Portland Trail Blazers,L,110,111,11,15,L 3
"Tue, Dec 17, 2019",Los Angeles Clippers,L,99,120,11,16,L 4
"Fri, Dec 20, 2019",Oklahoma City Thunder,L,108,126,11,17,L 5
"Sat, Dec 21, 2019",Houston Rockets,L,125,139,11,18,L 6
"Mon, Dec 23, 2019",Denver Nuggets,L,111,113,11,19,L 7
"Fri, Dec 27, 2019",Golden State Warriors,L,96,105,11,20,L 8
"Sat, Dec 28, 2019",Sacramento Kings,W,112,110,12,20,W 1
"Mon, Dec 30, 2019",Portland Trail Blazers,W,122,116,13,20,W 2
