date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Denver Nuggets,L,100,108,0,1,L 1
"Fri, Oct 25, 2019",Sacramento Kings,W,122,112,1,1,W 1
"Sun, Oct 27, 2019",Dallas Mavericks,W,121,119,2,1,W 2
"Mon, Oct 28, 2019",San Antonio Spurs,L,110,113,2,2,L 1
"Wed, Oct 30, 2019",Oklahoma City Thunder,W,102,99,3,2,W 1
"Sat, Nov 2, 2019",Philadelphia 76ers,L,128,129,3,3,L 1
"Mon, Nov 4, 2019",Golden State Warriors,L,118,127,3,4,L 2
"Thu, Nov 7, 2019",Los Angeles Clippers,L,101,107,3,5,L 3
"Fri, Nov 8, 2019",Brooklyn Nets,L,115,119,3,6,L 4
"Sun, Nov 10, 2019",Atlanta Hawks,W,124,113,4,6,W 1
"Tue, Nov 12, 2019",Sacramento Kings,L,99,107,4,7,L 1
"Wed, Nov 13, 2019",Toronto Raptors,L,106,114,4,8,L 2
"Sat, Nov 16, 2019",San Antonio Spurs,W,121,116,5,8,W 1
"Mon, Nov 18, 2019",Houston Rockets,L,108,132,5,9,L 1
"Tue, Nov 19, 2019",New Orleans Pelicans,L,104,115,5,10,L 2
"Thu, Nov 21, 2019",Milwaukee Bucks,L,129,137,5,11,L 3
"Sat, Nov 23, 2019",Cleveland Cavaliers,L,104,110,5,12,L 4
"Mon, Nov 25, 2019",Chicago Bulls,W,117,94,6,12,W 1
"Wed, Nov 27, 2019",Oklahoma City Thunder,W,136,119,7,12,W 2
"Fri, Nov 29, 2019",Chicago Bulls,W,107,103,8,12,W 3
"Tue, Dec 3, 2019",Los Angeles Clippers,L,97,117,8,13,L 1
"Wed, Dec 4, 2019",Sacramento Kings,W,127,116,9,13,W 1
"Fri, Dec 6, 2019",Los Angeles Lakers,L,113,136,9,14,L 1
"Sun, Dec 8, 2019",Oklahoma City Thunder,L,96,108,9,15,L 2
"Tue, Dec 10, 2019",New York Knicks,W,115,87,10,15,W 1
"Thu, Dec 12, 2019",Denver Nuggets,L,99,114,10,16,L 1
"Mon, Dec 16, 2019",Phoenix Suns,W,111,110,11,16,W 1
"Wed, Dec 18, 2019",Golden State Warriors,W,122,112,12,16,W 2
"Fri, Dec 20, 2019",Orlando Magic,W,118,103,13,16,W 3
"Sat, Dec 21, 2019",Minnesota Timberwolves,W,113,106,14,16,W 4
"Mon, Dec 23, 2019",New Orleans Pelicans,L,94,102,14,17,L 1
"Thu, Dec 26, 2019",Utah Jazz,L,115,121,14,18,L 2
"Sat, Dec 28, 2019",Los Angeles Lakers,L,120,128,14,19,L 3
"Mon, Dec 30, 2019",Phoenix Suns,L,116,122,14,20,L 4
"Wed, Jan 1, 2020",New York Knicks,L,93,117,14,21,L 5
"Fri, Jan 3, 2020",Washington Wizards,W,122,103,15,21,W 1
"Sun, Jan 5, 2020",Miami Heat,L,111,122,15,22,L 1
"Tue, Jan 7, 2020",Toronto Raptors,W,101,99,16,22,W 1
"Thu, Jan 9, 2020",Minnesota Timberwolves,L,102,116,16,23,L 1
"Sat, Jan 11, 2020",Milwaukee Bucks,L,101,122,16,24,L 2
"Mon, Jan 13, 2020",Charlotte Hornets,W,115,112,17,24,W 1
"Wed, Jan 15, 2020",Houston Rockets,W,117,107,18,24,W 2
"Fri, Jan 17, 2020",Dallas Mavericks,L,112,120,18,25,L 1
"Sat, Jan 18, 2020",Oklahoma City Thunder,L,106,119,18,26,L 2
"Mon, Jan 20, 2020",Golden State Warriors,W,129,124,19,26,W 1
"Thu, Jan 23, 2020",Dallas Mavericks,L,125,133,19,27,L 1
"Sun, Jan 26, 2020",Indiana Pacers,W,139,129,20,27,W 1
"Wed, Jan 29, 2020",Houston Rockets,W,125,112,21,27,W 2
"Fri, Jan 31, 2020",Los Angeles Lakers,W,127,119,22,27,W 3
"Sat, Feb 1, 2020",Utah Jazz,W,124,107,23,27,W 4
"Tue, Feb 4, 2020",Denver Nuggets,L,99,127,23,28,L 1
"Thu, Feb 6, 2020",San Antonio Spurs,W,125,117,24,28,W 1
"Fri, Feb 7, 2020",Utah Jazz,L,114,117,24,29,L 1
"Sun, Feb 9, 2020",Miami Heat,W,115,109,25,29,W 1
"Tue, Feb 11, 2020",New Orleans Pelicans,L,117,138,25,30,L 1
"Wed, Feb 12, 2020",Memphis Grizzlies,L,104,111,25,31,L 2
"Fri, Feb 21, 2020",New Orleans Pelicans,L,115,128,25,32,L 3
"Sun, Feb 23, 2020",Detroit Pistons,W,107,104,26,32,W 1
"Tue, Feb 25, 2020",Boston Celtics,L,106,118,26,33,L 1
"Thu, Feb 27, 2020",Indiana Pacers,L,100,106,26,34,L 2
"Sat, Feb 29, 2020",Atlanta Hawks,L,117,129,26,35,L 3
"Mon, Mar 2, 2020",Orlando Magic,W,130,107,27,35,W 1
"Wed, Mar 4, 2020",Washington Wizards,W,125,104,28,35,W 2
"Fri, Mar 6, 2020",Phoenix Suns,L,117,127,28,36,L 1
"Sat, Mar 7, 2020",Sacramento Kings,L,111,123,28,37,L 2
"Tue, Mar 10, 2020",Phoenix Suns,W,121,105,29,37,W 1
"Fri, Jul 31, 2020",Memphis Grizzlies,W,140,135,30,37,W 2
"Sun, Aug 2, 2020",Boston Celtics,L,124,128,30,38,L 1
"Tue, Aug 4, 2020",Houston Rockets,W,110,102,31,38,W 1
"Thu, Aug 6, 2020",Denver Nuggets,W,125,115,32,38,W 2
"Sat, Aug 8, 2020",Los Angeles Clippers,L,117,122,32,39,L 1
"Sun, Aug 9, 2020",Philadelphia 76ers,W,124,121,33,39,W 1
"Tue, Aug 11, 2020",Dallas Mavericks,W,134,131,34,39,W 2
"Thu, Aug 13, 2020",Brooklyn Nets,W,134,133,35,39,W 3
"Sat, Aug 15, 2020",Memphis Grizzlies,W,126,122,36,39,W 4
"Tue, Aug 18, 2020",Los Angeles Lakers,W,100,93,1,0,W 1
"Thu, Aug 20, 2020",Los Angeles Lakers,L,88,111,1,1,L 1
"Sat, Aug 22, 2020",Los Angeles Lakers,L,108,116,1,2,L 2
"Mon, Aug 24, 2020",Los Angeles Lakers,L,115,135,1,3,L 3
"Sat, Aug 29, 2020",Los Angeles Lakers,L,122,131,1,4,L 4
