date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Phoenix Suns,L,95,124,0,1,L 1
"Fri, Oct 25, 2019",Portland Trail Blazers,L,112,122,0,2,L 2
"Sat, Oct 26, 2019",Utah Jazz,L,81,113,0,3,L 3
"Mon, Oct 28, 2019",Denver Nuggets,L,94,101,0,4,L 4
"Wed, Oct 30, 2019",Charlotte Hornets,L,111,118,0,5,L 5
"Fri, Nov 1, 2019",Utah Jazz,W,102,101,1,5,W 1
"Sun, Nov 3, 2019",New York Knicks,W,113,92,2,5,W 2
"Wed, Nov 6, 2019",Toronto Raptors,L,120,124,2,6,L 1
"Fri, Nov 8, 2019",Atlanta Hawks,W,121,109,3,6,W 1
"Tue, Nov 12, 2019",Portland Trail Blazers,W,107,99,4,6,W 2
"Fri, Nov 15, 2019",Los Angeles Lakers,L,97,99,4,7,L 1
"Sun, Nov 17, 2019",Boston Celtics,W,100,99,5,7,W 1
"Tue, Nov 19, 2019",Phoenix Suns,W,120,116,6,7,W 2
"Fri, Nov 22, 2019",Brooklyn Nets,L,97,116,6,8,L 1
"Sun, Nov 24, 2019",Washington Wizards,W,113,106,7,8,W 1
"Mon, Nov 25, 2019",Boston Celtics,L,102,103,7,9,L 1
"Wed, Nov 27, 2019",Philadelphia 76ers,L,91,97,7,10,L 2
"Sat, Nov 30, 2019",Denver Nuggets,W,100,97,8,10,W 1
"Mon, Dec 2, 2019",Chicago Bulls,L,106,113,8,11,L 1
"Wed, Dec 4, 2019",Portland Trail Blazers,L,116,127,8,12,L 2
"Fri, Dec 6, 2019",San Antonio Spurs,L,104,105,8,13,L 3
"Sun, Dec 8, 2019",Dallas Mavericks,W,110,106,9,13,W 1
"Mon, Dec 9, 2019",Houston Rockets,W,119,118,10,13,W 2
"Wed, Dec 11, 2019",Oklahoma City Thunder,W,94,93,11,13,W 3
"Fri, Dec 13, 2019",New York Knicks,L,101,103,11,14,L 1
"Sun, Dec 15, 2019",Golden State Warriors,W,100,79,12,14,W 1
"Tue, Dec 17, 2019",Charlotte Hornets,L,102,110,12,15,L 1
"Fri, Dec 20, 2019",Indiana Pacers,L,105,119,12,16,L 2
"Sat, Dec 21, 2019",Memphis Grizzlies,L,115,119,12,17,L 3
"Mon, Dec 23, 2019",Houston Rockets,L,104,113,12,18,L 4
"Thu, Dec 26, 2019",Minnesota Timberwolves,L,104,105,12,19,L 5
"Sat, Dec 28, 2019",Phoenix Suns,L,110,112,12,20,L 6
"Sun, Dec 29, 2019",Denver Nuggets,L,115,120,12,21,L 7
"Tue, Dec 31, 2019",Los Angeles Clippers,L,87,105,12,22,L 8
"Thu, Jan 2, 2020",Memphis Grizzlies,W,128,123,13,22,W 1
"Sat, Jan 4, 2020",New Orleans Pelicans,L,115,117,13,23,L 1
"Mon, Jan 6, 2020",Golden State Warriors,W,111,98,14,23,W 1
"Tue, Jan 7, 2020",Phoenix Suns,W,114,103,15,23,W 2
"Fri, Jan 10, 2020",Milwaukee Bucks,L,106,127,15,24,L 1
"Mon, Jan 13, 2020",Orlando Magic,L,112,114,15,25,L 2
"Wed, Jan 15, 2020",Dallas Mavericks,L,123,127,15,26,L 3
"Sat, Jan 18, 2020",Utah Jazz,L,101,123,15,27,L 4
"Mon, Jan 20, 2020",Miami Heat,L,113,118,15,28,L 5
"Wed, Jan 22, 2020",Detroit Pistons,L,106,127,15,29,L 6
"Fri, Jan 24, 2020",Chicago Bulls,W,98,81,16,29,W 1
"Mon, Jan 27, 2020",Minnesota Timberwolves,W,133,129,17,29,W 2
"Wed, Jan 29, 2020",Oklahoma City Thunder,L,100,120,17,30,L 1
"Thu, Jan 30, 2020",Los Angeles Clippers,W,124,103,18,30,W 1
"Sat, Feb 1, 2020",Los Angeles Lakers,L,113,129,18,31,L 1
"Mon, Feb 3, 2020",Minnesota Timberwolves,W,113,109,19,31,W 1
"Fri, Feb 7, 2020",Miami Heat,W,105,97,20,31,W 2
"Sat, Feb 8, 2020",San Antonio Spurs,W,122,102,21,31,W 3
"Mon, Feb 10, 2020",Milwaukee Bucks,L,111,123,21,32,L 1
"Wed, Feb 12, 2020",Dallas Mavericks,L,111,130,21,33,L 2
"Thu, Feb 20, 2020",Memphis Grizzlies,W,129,125,22,33,W 1
"Sat, Feb 22, 2020",Los Angeles Clippers,W,112,103,23,33,W 2
"Tue, Feb 25, 2020",Golden State Warriors,W,112,94,24,33,W 3
"Thu, Feb 27, 2020",Oklahoma City Thunder,L,108,112,24,34,L 1
"Fri, Feb 28, 2020",Memphis Grizzlies,W,104,101,25,34,W 1
"Sun, Mar 1, 2020",Detroit Pistons,W,106,100,26,34,W 2
"Tue, Mar 3, 2020",Washington Wizards,W,133,126,27,34,W 3
"Thu, Mar 5, 2020",Philadelphia 76ers,L,108,125,27,35,L 1
"Sat, Mar 7, 2020",Portland Trail Blazers,W,123,111,28,35,W 1
"Sun, Mar 8, 2020",Toronto Raptors,L,113,118,28,36,L 1
"Fri, Jul 31, 2020",San Antonio Spurs,L,120,129,28,37,L 2
"Sun, Aug 2, 2020",Orlando Magic,L,116,132,28,38,L 3
"Tue, Aug 4, 2020",Dallas Mavericks,L,110,114,28,39,L 4
"Thu, Aug 6, 2020",New Orleans Pelicans,W,140,125,29,39,W 1
"Fri, Aug 7, 2020",Brooklyn Nets,L,106,119,29,40,L 1
"Sun, Aug 9, 2020",Houston Rockets,L,112,129,29,41,L 2
"Tue, Aug 11, 2020",New Orleans Pelicans,W,112,106,30,41,W 1
"Thu, Aug 13, 2020",Los Angeles Lakers,W,136,122,31,41,W 2
