date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",New York Knicks,W,120,111,1,0,W 1
"Sat, Oct 26, 2019",Washington Wizards,W,124,122,2,0,W 2
"Mon, Oct 28, 2019",Portland Trail Blazers,W,113,110,3,0,W 3
"Thu, Oct 31, 2019",Los Angeles Clippers,L,97,103,3,1,L 1
"Fri, Nov 1, 2019",Golden State Warriors,W,127,110,4,1,W 1
"Sun, Nov 3, 2019",Los Angeles Lakers,L,96,103,4,2,L 1
"Tue, Nov 5, 2019",Atlanta Hawks,L,100,108,4,3,L 2
"Thu, Nov 7, 2019",Oklahoma City Thunder,W,121,112,5,3,W 1
"Sat, Nov 9, 2019",Boston Celtics,L,115,135,5,4,L 1
"Mon, Nov 11, 2019",Memphis Grizzlies,L,109,113,5,5,L 2
"Wed, Nov 13, 2019",Minnesota Timberwolves,L,114,129,5,6,L 3
"Fri, Nov 15, 2019",Orlando Magic,L,109,111,5,7,L 4
"Sat, Nov 16, 2019",Portland Trail Blazers,L,116,121,5,8,L 5
"Mon, Nov 18, 2019",Dallas Mavericks,L,110,117,5,9,L 6
"Wed, Nov 20, 2019",Washington Wizards,L,132,138,5,10,L 7
"Fri, Nov 22, 2019",Philadelphia 76ers,L,104,115,5,11,L 8
"Sat, Nov 23, 2019",New York Knicks,W,111,104,6,11,W 1
"Mon, Nov 25, 2019",Los Angeles Lakers,L,104,114,6,12,L 1
"Wed, Nov 27, 2019",Minnesota Timberwolves,L,101,113,6,13,L 2
"Fri, Nov 29, 2019",Los Angeles Clippers,W,107,97,7,13,W 1
"Sun, Dec 1, 2019",Detroit Pistons,L,98,132,7,14,L 1
"Tue, Dec 3, 2019",Houston Rockets,W,135,133,8,14,W 1
"Fri, Dec 6, 2019",Sacramento Kings,W,105,104,9,14,W 2
"Thu, Dec 12, 2019",Cleveland Cavaliers,L,109,117,9,15,L 1
"Sat, Dec 14, 2019",Phoenix Suns,W,121,119,10,15,W 1
"Mon, Dec 16, 2019",Houston Rockets,L,107,109,10,16,L 1
"Thu, Dec 19, 2019",Brooklyn Nets,W,118,105,11,16,W 1
"Sat, Dec 21, 2019",Los Angeles Clippers,L,109,134,11,17,L 1
"Mon, Dec 23, 2019",Memphis Grizzlies,W,145,115,12,17,W 1
"Thu, Dec 26, 2019",Dallas Mavericks,L,98,102,12,18,L 1
"Sat, Dec 28, 2019",Detroit Pistons,W,136,109,13,18,W 1
"Tue, Dec 31, 2019",Golden State Warriors,W,117,113,14,18,W 2
"Thu, Jan 2, 2020",Oklahoma City Thunder,L,103,109,14,19,L 1
"Sat, Jan 4, 2020",Milwaukee Bucks,L,118,127,14,20,L 2
"Mon, Jan 6, 2020",Milwaukee Bucks,W,126,104,15,20,W 1
"Wed, Jan 8, 2020",Boston Celtics,W,129,114,16,20,W 2
"Fri, Jan 10, 2020",Memphis Grizzlies,L,121,134,16,21,L 1
"Sun, Jan 12, 2020",Toronto Raptors,W,105,104,17,21,W 1
"Wed, Jan 15, 2020",Miami Heat,L,100,106,17,22,L 1
"Fri, Jan 17, 2020",Atlanta Hawks,L,120,121,17,23,L 2
"Sun, Jan 19, 2020",Miami Heat,W,107,102,18,23,W 1
"Mon, Jan 20, 2020",Phoenix Suns,W,120,118,19,23,W 2
"Wed, Jan 22, 2020",New Orleans Pelicans,W,121,117,20,23,W 3
"Fri, Jan 24, 2020",Phoenix Suns,L,99,103,20,24,L 1
"Sun, Jan 26, 2020",Toronto Raptors,L,106,110,20,25,L 2
"Mon, Jan 27, 2020",Chicago Bulls,L,109,110,20,26,L 3
"Wed, Jan 29, 2020",Utah Jazz,W,127,120,21,26,W 1
"Sat, Feb 1, 2020",Charlotte Hornets,W,114,90,22,26,W 2
"Mon, Feb 3, 2020",Los Angeles Clippers,L,105,108,22,27,L 1
"Tue, Feb 4, 2020",Los Angeles Lakers,L,102,129,22,28,L 2
"Thu, Feb 6, 2020",Portland Trail Blazers,L,117,125,22,29,L 3
"Sat, Feb 8, 2020",Sacramento Kings,L,102,122,22,30,L 4
"Mon, Feb 10, 2020",Denver Nuggets,L,120,127,22,31,L 5
"Tue, Feb 11, 2020",Oklahoma City Thunder,W,114,106,23,31,W 1
"Fri, Feb 21, 2020",Utah Jazz,W,113,104,24,31,W 2
"Sun, Feb 23, 2020",Oklahoma City Thunder,L,103,131,24,32,L 1
"Wed, Feb 26, 2020",Dallas Mavericks,L,103,109,24,33,L 2
"Sat, Feb 29, 2020",Orlando Magic,W,114,113,25,33,W 1
"Mon, Mar 2, 2020",Indiana Pacers,L,111,116,25,34,L 1
"Tue, Mar 3, 2020",Charlotte Hornets,W,104,103,26,34,W 1
"Fri, Mar 6, 2020",Brooklyn Nets,L,120,139,26,35,L 1
"Sun, Mar 8, 2020",Cleveland Cavaliers,L,129,132,26,36,L 2
"Tue, Mar 10, 2020",Dallas Mavericks,W,119,109,27,36,W 1
"Fri, Jul 31, 2020",Sacramento Kings,W,129,120,28,36,W 2
"Sun, Aug 2, 2020",Memphis Grizzlies,W,108,106,29,36,W 3
"Mon, Aug 3, 2020",Philadelphia 76ers,L,130,132,29,37,L 1
"Wed, Aug 5, 2020",Denver Nuggets,L,126,132,29,38,L 2
"Fri, Aug 7, 2020",Utah Jazz,W,119,111,30,38,W 1
"Sun, Aug 9, 2020",New Orleans Pelicans,W,122,113,31,38,W 2
"Tue, Aug 11, 2020",Houston Rockets,W,123,105,32,38,W 3
"Thu, Aug 13, 2020",Utah Jazz,L,112,118,32,39,L 1
