date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 23, 2019",Oklahoma City Thunder,W,100,95,1,0,W 1
"Fri, Oct 25, 2019",Los Angeles Lakers,L,86,95,1,1,L 1
"Sat, Oct 26, 2019",Sacramento Kings,W,113,81,2,1,W 1
"Mon, Oct 28, 2019",Phoenix Suns,W,96,95,3,1,W 2
"Wed, Oct 30, 2019",Los Angeles Clippers,W,110,96,4,1,W 3
"Fri, Nov 1, 2019",Sacramento Kings,L,101,102,4,2,L 1
"Sun, Nov 3, 2019",Los Angeles Clippers,L,94,105,4,3,L 2
"Wed, Nov 6, 2019",Philadelphia 76ers,W,106,104,5,3,W 1
"Fri, Nov 8, 2019",Milwaukee Bucks,W,103,100,6,3,W 2
"Mon, Nov 11, 2019",Golden State Warriors,W,122,108,7,3,W 3
"Tue, Nov 12, 2019",Brooklyn Nets,W,119,114,8,3,W 4
"Fri, Nov 15, 2019",Memphis Grizzlies,L,106,107,8,4,L 1
"Mon, Nov 18, 2019",Minnesota Timberwolves,L,102,112,8,5,L 2
"Wed, Nov 20, 2019",Minnesota Timberwolves,W,103,95,9,5,W 1
"Fri, Nov 22, 2019",Golden State Warriors,W,113,109,10,5,W 2
"Sat, Nov 23, 2019",New Orleans Pelicans,W,128,120,11,5,W 3
"Mon, Nov 25, 2019",Milwaukee Bucks,L,118,122,11,6,L 1
"Wed, Nov 27, 2019",Indiana Pacers,L,102,121,11,7,L 2
"Fri, Nov 29, 2019",Memphis Grizzlies,W,103,94,12,7,W 1
"Sun, Dec 1, 2019",Toronto Raptors,L,110,130,12,8,L 1
"Mon, Dec 2, 2019",Philadelphia 76ers,L,94,103,12,9,L 2
"Wed, Dec 4, 2019",Los Angeles Lakers,L,96,121,12,10,L 3
"Sat, Dec 7, 2019",Memphis Grizzlies,W,126,112,13,10,W 1
"Mon, Dec 9, 2019",Oklahoma City Thunder,L,90,104,13,11,L 1
"Wed, Dec 11, 2019",Minnesota Timberwolves,W,127,116,14,11,W 1
"Fri, Dec 13, 2019",Golden State Warriors,W,114,106,15,11,W 2
"Tue, Dec 17, 2019",Orlando Magic,W,109,102,16,11,W 3
"Thu, Dec 19, 2019",Atlanta Hawks,W,111,106,17,11,W 4
"Sat, Dec 21, 2019",Charlotte Hornets,W,114,107,18,11,W 5
"Mon, Dec 23, 2019",Miami Heat,L,104,107,18,12,L 1
"Thu, Dec 26, 2019",Portland Trail Blazers,W,121,115,19,12,W 1
"Sat, Dec 28, 2019",Los Angeles Clippers,W,120,107,20,12,W 2
"Mon, Dec 30, 2019",Detroit Pistons,W,104,81,21,12,W 3
"Thu, Jan 2, 2020",Chicago Bulls,W,102,98,22,12,W 4
"Sat, Jan 4, 2020",Orlando Magic,W,109,96,23,12,W 5
"Mon, Jan 6, 2020",New Orleans Pelicans,W,128,126,24,12,W 6
"Wed, Jan 8, 2020",New York Knicks,W,128,104,25,12,W 7
"Fri, Jan 10, 2020",Charlotte Hornets,W,109,92,26,12,W 8
"Sun, Jan 12, 2020",Washington Wizards,W,127,116,27,12,W 9
"Tue, Jan 14, 2020",Brooklyn Nets,W,118,107,28,12,W 10
"Thu, Jan 16, 2020",New Orleans Pelicans,L,132,138,28,13,L 1
"Sat, Jan 18, 2020",Sacramento Kings,W,123,101,29,13,W 1
"Mon, Jan 20, 2020",Indiana Pacers,W,118,88,30,13,W 2
"Wed, Jan 22, 2020",Golden State Warriors,W,129,96,31,13,W 3
"Sat, Jan 25, 2020",Dallas Mavericks,W,112,107,32,13,W 4
"Mon, Jan 27, 2020",Houston Rockets,L,117,126,32,14,L 1
"Wed, Jan 29, 2020",San Antonio Spurs,L,120,127,32,15,L 2
"Thu, Jan 30, 2020",Denver Nuggets,L,100,106,32,16,L 3
"Sat, Feb 1, 2020",Portland Trail Blazers,L,107,124,32,17,L 4
"Wed, Feb 5, 2020",Denver Nuggets,L,95,98,32,18,L 5
"Fri, Feb 7, 2020",Portland Trail Blazers,W,117,114,33,18,W 1
"Sun, Feb 9, 2020",Houston Rockets,W,114,113,34,18,W 2
"Mon, Feb 10, 2020",Dallas Mavericks,W,123,119,35,18,W 3
"Wed, Feb 12, 2020",Miami Heat,W,116,101,36,18,W 4
"Fri, Feb 21, 2020",San Antonio Spurs,L,104,113,36,19,L 1
"Sat, Feb 22, 2020",Houston Rockets,L,110,120,36,20,L 2
"Mon, Feb 24, 2020",Phoenix Suns,L,111,131,36,21,L 3
"Wed, Feb 26, 2020",Boston Celtics,L,103,114,36,22,L 4
"Fri, Feb 28, 2020",Washington Wizards,W,129,119,37,22,W 1
"Mon, Mar 2, 2020",Cleveland Cavaliers,W,126,113,38,22,W 2
"Wed, Mar 4, 2020",New York Knicks,W,112,104,39,22,W 3
"Fri, Mar 6, 2020",Boston Celtics,W,99,94,40,22,W 4
"Sat, Mar 7, 2020",Detroit Pistons,W,111,105,41,22,W 5
"Mon, Mar 9, 2020",Toronto Raptors,L,92,101,41,23,L 1
"Thu, Jul 30, 2020",New Orleans Pelicans,W,106,104,42,23,W 1
"Sat, Aug 1, 2020",Oklahoma City Thunder,L,94,110,42,24,L 1
"Mon, Aug 3, 2020",Los Angeles Lakers,L,108,116,42,25,L 2
"Wed, Aug 5, 2020",Memphis Grizzlies,W,124,115,43,25,W 1
"Fri, Aug 7, 2020",San Antonio Spurs,L,111,119,43,26,L 1
"Sat, Aug 8, 2020",Denver Nuggets,L,132,134,43,27,L 2
"Mon, Aug 10, 2020",Dallas Mavericks,L,114,122,43,28,L 3
"Thu, Aug 13, 2020",San Antonio Spurs,W,118,112,44,28,W 1
"Mon, Aug 17, 2020",Denver Nuggets,L,125,135,0,1,L 1
"Wed, Aug 19, 2020",Denver Nuggets,W,124,105,1,1,W 1
"Fri, Aug 21, 2020",Denver Nuggets,W,124,87,2,1,W 2
"Sun, Aug 23, 2020",Denver Nuggets,W,129,127,3,1,W 3
"Tue, Aug 25, 2020",Denver Nuggets,L,107,117,3,2,L 1
"Sun, Aug 30, 2020",Denver Nuggets,L,107,119,3,3,L 2
"Tue, Sep 1, 2020",Denver Nuggets,L,78,80,3,4,L 3
